ISSUE;TYPE;STORY TITLE;STORYLINE;EVENT;COVER DATE;RELEASE DATE;WRITER;PENCILER;MAIN CHARACTERS;ANTAGONISTS;SUPPORTING CHARACTERS
New Mutants Vol 3 17;Other Groups;Fall of the New Mutants (Part 3);;;2010-11;2010-09-15;Zeb Wells;Leonard Kirk;X-Men | New Mutants | Mirage (Danielle Moonstar) | Cannonball (Sam Guthrie) | Sunspot (Roberto Da Costa) | Magma (Amara Aquilla) | Magik (Illyana Rasputina) | Karma (Xi'an Coy Manh) | Cypher (Douglas Ramsey) | Warlock | Pixie (Megan Gwynn);Project Purgatory | General Ulysses | Doctor Noc | Inferno Babies | Alex | Bob | Face | Loca | Maw | Russell | Scab | Shauna | Timothy | Toko | Trista | General Ulysses' troops | McDonald | Witchfire (Ananym);
X-Factor Vol 1 209;Other Groups;Strip Search;;;2010-11;2010-09-15;Peter David;Emanuela Lupacchino;X-Factor Investigations (Main story and flashback) | Shatterstar | Multiple Man (Jamie Madrox) (Main story and flashback) | Strong Guy (Guido Carosella) | Banshee (Terry Cassidy) (Main story and flashback) | Darwin (Armando Muñoz) | Rictor (Julio Richter) (Only in flashback) | Wolfsbane (Rahne Sinclair) (Only in flashback) (Rejoins team) | Layla Miller | Longshot;Hela (Photo) | Niffleheim Warriors;Pip the Troll (Pip Gofern) (Mentioned) | Dr. Jane Foster
Uncanny X-Men Vol 1 528;Main Series;The Five Lights (Part 3);;;2010-11;2010-09-22;Matt Fraction;Whilce Portacio;X-Men | Idie Okonkwo (First appearance) (Joins group) | Storm (Ororo Munroe) | Hope Summers | Iceman (Bobby Drake) | Emma Frost | Namor | Colossus (Piotr Rasputin) | Kitty Pryde | Northstar (Jean-Paul Beaubier) | Dazzler (Alison Blaire);Nigerian Army (First appearance) | Unnamed soldiers | Sebastian Shaw | Selach (First appearance) | Krang | Nekra | Frenzy (Joanna Cargill);Kate Kildare
X-Men: Legacy Vol 1 240;Secondary;Collision: Part 3;;;2010-11;2010-09-29;Mike Carey;Clay Mann;X-Men | Rogue (Anna Marie) | Magneto (Erik Lehnsherr) | Indra (Paras Gavaskar) | Loa (Alani Ryan) | Anole (Victor Borkowski);Children of the Vault | Cadena | Martillo | Olvido | Perro | 🢐 Serafina 🢒 | Corregidora | Unnamed other members;"Luz/""Luisa"" | Rav Gavaskar | ""Mama-Ji"" Gavaskar | Vaipala Rani"
Uncanny X-Force Vol 1 1;Other Groups;The Apocalypse Solution (Chapter One);;;2010-12;2010-10-06;Rick Remender;Jerome Opeña;X-Force | Wolverine (Logan) | Archangel (Warren Worthington III) | Psylocke (Betsy Braddock) | Fantomex | E.V.A. | Deadpool (Wade Wilson);Clan Akkaba | Apocalypse (En Sabah Nur) | Final Horsemen of Apocalypse | War (First appearance) | Famine (First appearance) | Apocalypse's nanny (Ship clone) | many unnamed members;
X-Men Vol 3 4;Secondary;Curse of the Mutants (Part 4);;Curse of the Mutants;2010-12;2010-10-13;Victor Gischler;Paco Medina;X-Men | Cyclops (Scott Summers) | Emma Frost | Angel (Warren Worthington III) | Colossus (Piotr Rasputin) | Gambit (Remy LeBeau) | Madison Jeffries | Pixie (Megan Gwynn) | Rogue (Anna Marie) | Storm (Ororo Munroe) | X-23 (Laura Kinney);Vampires | Xarus | Wolverine (Logan) (Joins group) | Jubilee (Jubilation Lee) | Brad | Alyssa | Charniputra | Nosferatus | Kreiger Sect | Legate | Claw Sect | Atlantean vampires;Blade (Eric Brooks)
New Mutants Vol 3 18;Other Groups;Fall of the New Mutants (Part 4);;;2010-12;2010-10-20;Zeb Wells;Leonard Kirk;X-Men | New Mutants | Mirage (Danielle Moonstar) | Cannonball (Sam Guthrie) | Sunspot (Roberto Da Costa) | Magma (Amara Aquilla) | Darkchylde (Illyana Rasputina) | Karma (Xi'an Coy Manh) | Cypher (Douglas Ramsey);;
X-Factor Vol 1 210;Other Groups;;;;2010-12;2010-10-20;Peter David;Valentine De Landro;X-Factor Investigations | Rictor (Julio Richter) | Wolfsbane (Rahne Sinclair) | M (Monet St. Croix) | Strong Guy (Guido Carosella) (On the phone) | Shatterstar (Mentioned) | Multiple Man (Jamie Madrox) (Photo);Ballistique (Corporal Noelle Blanc) (First appearance);Doctor Castillo | General Sam Ryan (First and only known appearance, dies)
Uncanny X-Men Vol 1 529;Main Series;The Five Lights (Part Four);;;2010-12;2010-10-27;Matt Fraction;Whilce Portacio | Harvey Tolibao;"X-Men | Teon Macik (First appearance) (Joins group) | Cannonball (Sam Guthrie) | Rogue (Anna Marie) | Hope Summers | Gabriel Cohuelo | Idie Okonkwo | Laurie Tromette | Fantomex (""Jean-Phillipe"") | Emma Frost | X-Club | Madison Jeffries | Dr. Kavita Rao | Danger | Dr. Cecilia Reyes | Rockslide (Santo Vaccarro) | Dust (Sooraya Qadir) | Surge (Noriko Ashida) | Kitty Pryde | E.V.A.";Unnamed men in a party | Collective Man (Han, Chang, Lin, Sun, and Ho Tao-Yu) | Sebastian Shaw;
X-Men: Legacy Vol 1 241;Secondary;Collision: Conclusion;;;2010-12;2010-10-27;Mike Carey;Clay Mann | Tom Raney;X-Men | Rogue (Anna Marie) | Magneto (Erik Lehnsherr) | Indra (Paras Gavaskar) | Loa (Alani Ryan) | Anole (Victor Borkowski);Children of the Vault | Cadena | Perro | Martillo | Corregidora | Olvido | Piedra Dura (First appearance);"Luz/""Luisa"" | Rav Gavaskar | ""Mama-Ji"" Gavaskar | Vaipala Rani"
X-Factor Vol 1 211;Other Groups;Staying in Vegas;;;2011-01;2010-11-17;Peter David;Emanuela Lupacchino;X-Factor Investigations | Longshot | Multiple Man (Jamie Madrox) | Shatterstar | Banshee (Terry Cassidy) | Strong Guy (Guido Carosella) | Darwin (Armando Muñoz) | Layla Miller;Niffleheim Warriors | Hela;Pip the Troll (Pip Gofern) | 🢐 Thor 🢒
X-Men Vol 3 5;Secondary;Curse of the Mutants (Part Five);;Curse of the Mutants;2011-01;2010-11-17;Victor Gischler;Paco Medina;X-Men | Cyclops (Scott Summers) (Main story and flashback) | Emma Frost | Colossus (Peter Rasputin) | Mercury (Cessily Kincaid) | Rockslide (Santo Vaccarro) | Bling! (Roxy Washington) | Dust (Sooraya Qadir) | Husk (Paige Guthrie) | Armor (Hisako Ichiki) | Angel/Archangel (Warren Worthington III) | Iceman (Bobby Drake) | Wolverine (Logan) (Main story and flashback) | Namor | New Mutants | Cypher (Doug Ramsey) | Magma (Amara Aquilla) | X-Club | Madison Jeffries | Dr. Nemesis (James Bradley) (Main story and flashback);Vampires | Dracula | Xarus | Alyssa | Jubilee (Jubilation Lee) (Main story and flashback) | Bradley | Aqueos | Kreiger Sect | Charniputra;Atlanteans | Jian | Blade (Eric Brooks)
New Mutants Vol 3 19;Other Groups;Fall of the New Mutants (Conclusion);;;2011-01;2010-11-24;Zeb Wells;Leonard Kirk;X-Men | New Mutants | Mirage (Danielle Moonstar) | Cannonball (Sam Guthrie) | Sunspot (Roberto Da Costa) | Magma (Amara Aquilla) | Magik (Illyana Rasputina) | Karma (Xi'an Coy Manh) | Cypher (Douglas Ramsey) | Pixie (Megan Gwynn);;
Uncanny X-Force Vol 1 2;Other Groups;The Apocalypse Solution: Chapter Two;;;2011-01;2010-11-24;Rick Remender;Jerome Opena;X-Force | Wolverine (Logan) | Angel/Archangel (Warren Worthington III) | Deadpool (Wade Wilson) | Psylocke (Betsy Braddock) | Fantomex | E.V.A.;Clan Akkaba | Apocalypse (En Sabah Nur) | Ozymandias | Final Horsemen of Apocalypse | Pestilence (First appearance) | Famine | War | Death (First appearance) | Apocalypse's nanny (Ship clone);
Uncanny X-Men Vol 1 530;Main Series;Quarantine: Part 1;;;2011-01;2010-11-24;Matt Fraction;Greg Land;"X-Men | Emma Frost (Main story and flashback) | Fantomex (""Jean-Phillipe"") | E.V.A. | Kitty Pryde | Cyclops (Scott Summers) (Main story and flashback) | Anole (Victor Borkowski) | Dr. Kavita Rao | Dr. Cecilia Reyes | Danger | Colossus (Piotr Rasputin) | Dazzler (Alison Blaire) | Northstar (Jean-Paul Beaubier) | Angel (Warren Worthington III) | Wolverine (Logan) / ""The Black Dragon"" | Pixie (Megan Gwynn) | Storm (Ororo Munroe)";"Sebastian Shaw | Collective Man (Han, Chang, Lin, Sun and Ho Tao-Yu) | Sublime Corporation (First appearance) | New U-Men | Lobe | Burst | Verre | Thug | Bouncing Betty | Lobe's X-Men (First appearance) | ""Angel"" (First appearance) | ""Cyclops"" (First appearance) | ""Beast"" (First appearance) | ""Marvel Girl"" (First appearance) | ""Iceman"" (First appearance)";Kate Kildare
X-Men: Legacy Vol 1 242;Secondary;Fables of the Reconstruction: Part One;;;2011-01;2010-11-24;Mike Carey;Paul Davidson;X-Men | Rogue (Anna Marie) | Cyclops (Scott Summers) | Magneto (Erik Lehnsherr) | Psylocke (Betsy Braddock) | Colossus (Piotr Rasputin) | Hellion (Julian Keller) | Hope Summers | Bling! (Roxy Washington) | Rockslide (Santo Vaccarro) | Anole (Victor Borkowski) | Loa (Alani Ryan) | Prodigy (David Alleyne) | Surge (Noriko Ashida) | Emma Frost | Dr. Kavita Rao | Omega Sentinel (Karima Shapandar) | Danger;;Random (Marshall Stone III)
Uncanny X-Force Vol 1 3;Other Groups;The Apocalypse Solution (Chapter Three);;;2011-02;2010-12-15;Rick Remender;Jerome Opena;X-Force | Psylocke (Betsy Braddock) | Wolverine (Logan) | Fantomex (Charlie Cluster-7) | E.V.A. (Mentioned) | Deadpool (Wade Wilson) | Archangel (Warren Worthington III);Clan Akkaba | Apocalypse (En Sabah Nur) (Main story and flashback) | Ozymandias (Main story and flashback) | Final Horsemen of Apocalypse | War (Decimus Furius) (Main story and flashback) (Name first revealed) | Famine (Jeb Lee) (Main story and flashback) (Name first revealed) | Pestilence (Ichisumi) (Main story and flashback) (Name first revealed) | Death (Sanjar Javeed) (Main story and flashback) (Name first revealed) | Apocalypse' Nanny ship clone | Apocalypse's ship guards;
X-Factor Vol 1 212;Other Groups;;;;2011-02;2010-12-15;Peter David;Emanuela Lupacchino;X-Factor Investigations | Multiple Man (Jamie Madrox) | Banshee (Terry Cassidy) | Darwin (Armando Muñoz) | Layla Miller | Longshot | Shatterstar | Strong Guy (Guido Carosella);Hela | Niffleheim Warriors;Pip the Troll (Pip Gofern) | 🢐 Thor 🢒 | Hrimhari the Wolf Prince
Uncanny X-Men Vol 1 531;Main Series;Quarantine (Part Two);;;2011-02;2010-12-22;Matt Fraction | Kieron Gillen;Greg Land;X-Men | Namor | X-Club | Dr. Kavita Rao | Dr. Nemesis (James Bradley) | Cyclops (Scott Summers) | Hope Summers | Laurie Tromette | Idie Okonkwo | Wolverine (Logan) | Angel (Warren Worthington III) | Storm (Ororo Iqadi T'Challa) | Pixie (Megan Gwynn) | Northstar (Jean-Paul Beaubier) | Dazzler (Alison Blaire) | Emma Frost (Main story and flashback) | Kitty Pryde | Fantomex | E.V.A.;"Sublime Corporation | Lobe's Team | Lobe | Bouncing Betty (Behind the scenes) | Lobe's X-Men | ""Angel"" | ""Cyclops"" | ""Marvel Girl"" | ""Iceman"" | ""Beast"" | Collective Man (Han, Chang, Lin, Sun, and Ho Tao-Yu) | Sebastian Shaw (Main story and flashback)";Kate Kildare
X-Men Vol 3 6;Secondary;Curse of the Mutants (Conclusion);;Curse of the Mutants;2011-02;2010-12-22;Victor Gischler;Paco Medina;X-Men | Cyclops (Scott Summers) | Wolverine (Logan) | Emma Frost | Rockslide (Santo Vaccarro) | Gambit (Remy LeBeau) | Storm (Ororo Munroe) | Colossus (Piotr Rasputin);Vampires | Dracula | Xarus (Death) | Alyssa | Bradley | Jubilee (Leaves group) | Claw Sect | Atlantean vampires | Nosferatus;Blade (Eric Brooks)
X-Men: Legacy Vol 1 243;Secondary;Fables of the Reconstruction: Part Two;;;2011-02;2010-12-22;Mike Carey;Paul Davidson;X-Men | Rogue (Anna Marie) | Hellion (Julian Keller) | Cyclops (Scott Summers) | Hope Summers | Psylocke (Betsy Braddock) | Colossus (Piotr Rasputin) | Magneto (Erik Lehnsherr) | Loa (Alani Ryan) | Anole (Victor Borkowski) | Rockslide (Santo Vaccarro) | Danger | Dr. Nemesis (James Bradley);Omega Sentinel (Karima Shapandar);Random (Marshall Stone III)
New Mutants Vol 3 20;Other Groups;Rise of the New Mutants (Part 1);;;2011-02;2010-12-29;Zeb Wells;Leonard Kirk | Andrew Currie;X-Men | New Mutants | Mirage (Danielle Moonstar) | Cannonball (Sam Guthrie) | Sunspot (Roberto Da Costa) | Magma (Amara Aquilla) | Magik (Illyana Rasputina) | Karma (Xi'an Coy Manh) | Cypher (Douglas Ramsey) | Warlock;Project Purgatory | General Ulysses | Doctor Noc | Inferno Babies | Face (Mentioned) | Loca (Death) | Maw (Mentioned) | Russell | Timothy (Mentioned) | Toko | Trista | Demons of Limbo | The Demons Three (First and only known appearance, dies) | Allsore (First and only known appearance, dies);X-Men | Colossus (Piotr Rasputin) | Cyclops (Scott Summers) | Dust (Sooraya Qadir) | Emma Frost | Gambit (Remy LeBeau) | Iceman (Robert Drake) | Magneto (Max Eisenhardt) | Namor | Pixie (Megan Gwynn) | Rogue (Anna Marie) | Storm (Ororo Munroe) | Wolverine (James Howlett) | Angel (Warren Worthington III) | Hope Summers | Psylocke (Elizabeth Braddock) | Northstar (Jean-Paul Beaubier) | Legion (David Haller)
X-Factor Vol 1 213;Other Groups;Keeping Things;;;2011-03;2011-01-05;Peter David;Valentine De Landro;X-Factor Investigations | Darwin (Armando Muñoz) (Leaves group) | Multiple Man (Jamie Madrox) | Banshee (Terry Cassidy) | Layla Miller | Longshot | Strong Guy (Guido Carosella) | Shatterstar | M (Monet St. Croix) | Rictor (Julio Richter) | Wolfsbane (Rahne Sinclair) | Pip the Troll (Pip Gofern) (Joins group);Scarpetti (First and only known appearance) | Hela (Mentioned) | Agamemnon (Vali Halfling) (Voice) (On the phone);
X-Factor Vol 1 214;Other Groups;;;;2011-03;2011-01-19;Peter David;Emanuela Lupacchino;Darwin (Armando Muñoz);Tier (First appearance) | Tier's Sirrush (First and only known appearance, dies);Whore of Babylon
X-Men: Legacy Vol 1 244;Secondary;None So Blind;;;2011-03;2011-01-19;Mike Carey;Harvey Tolibao;X-Men | Rogue (Anna Marie) | Blindfold (Ruth Aldine) | Cyclops (Scott Summers) | Emma Frost | Gambit/Death (Remy LeBeau) | Hellion (Julian Keller) | Professor X (Charles Xavier) | Surge (Noriko Ashida) | Magma (Amara Aquilla) | Armor (Hisako Ichiki) | Colossus (Piotr Rasputin) | Iceman (Bobby Drake) | Wolverine (Logan) | Stepford Cuckoos | Mindee Cuckoo | Celeste Cuckoo | Phoebe Cuckoo | Match (Ben Hammil) | Loa (Alani Ryan) | X-Club | Madison Jeffries | Dr. Nemesis (James Bradley);Spider squid;Legion (David Haller) | Dragoness (Tamara Kurtz)
New Mutants Vol 3 21;Other Groups;Rise of the New Mutants (Part 2);;;2011-03;2011-01-26;Zeb Wells;Leonard Kirk | Andrew Currie;New Mutants | Mirage (Danielle Moonstar) | Cannonball (Sam Guthrie) | Sunspot (Roberto Da Costa) | Magma (Amara Aquilla) | Magik (Illyana Rasputina) | Karma (Xi'an Coy Manh) | Cypher (Douglas Ramsey) | Warlock;Elder Gods of Limbo (Death) | Project Purgatory | General Charles L. Ulysses (Death) (Name first revealed) | Doctor Noc (Death) | Unnamed soldiers  (Death) | Inferno Babies | Alex | Russell (Death) | Scab (Death) | Toko | Trista;X-Men | Angel (Warren Worthington III) | Colossus (Piotr Rasputin) | Cyclops (Scott Summers) | Emma Frost | Hope Summers | Iceman (Bobby Drake) | Magneto (Erik Magnus Lehnsherr) | Namor | Pixie (Megan Gwynn) | Rogue (Anna Marie) | Wolverine (Logan) | Legion (David Haller) | The Legion, the God-Mutant
Uncanny X-Force Vol 1 4;Other Groups;The Apocalypse Solution (Chapter Four);;;2011-03;2011-01-26;Rick Remender;Jerome Opena;X-Force | Wolverine (Logan) | Archangel (Warren Worthington III) | Psylocke (Betsy Braddock) | Fantomex | E.V.A. | Deadpool (Wade Wilson);Clan Akkaba | Apocalypse (En Sabah Nur) (Death) | Ozymandias | Final Horsemen of Apocalypse | Pestilence (Ichisumi) | Famine (Jeb Lee) | War (Decimus Furius) | Death (Sanjar Javeed);
