ISSUE;TYPE;STORY TITLE;STORYLINE;EVENT;COVER DATE;RELEASE DATE;WRITER;PENCILER;MAIN CHARACTERS;ANTAGONISTS;SUPPORTING CHARACTERS
Avengers: The Children's Crusade Vol 1 8;Limited;The Children's Crusade - Part VIII;;;2012-01;2011-12-28;Allan Heinberg;Jim Cheung;Young Avengers | Hulkling (Teddy Altman) | Patriot (Eli Bradley) | Stature (Cassie Lang) (Death) | Hawkeye (Kate Bishop) | Wiccan (Billy Kaplan) | Iron Lad (Nathaniel Richards) | Speed (Tommy Shepherd) | Vision (Jonas) | Scarlet Witch (Wanda Maximoff);Doctor Doom (Victor von Doom) | Hellfire Club (Mentioned) | Brotherhood of Evil Mutants (Mentioned) | Thieves Guild (Mentioned);Ant-Man (Scott Lang) | X-Factor Investigations | Multiple Man (Jamie Madrox) | Shatterstar | Rictor (Julio Richter) | Strong Guy (Guido Carosella) | Avengers | Captain America (Steve Rogers) | Iron Man (Tony Stark) | Hawkeye (Clint Barton) | New Avengers | Luke Cage | Spider-Man (Peter Parker) | Wolverine (Logan) | Ms. Marvel (Carol Danvers) | Jessica Jones | Beast (Hank McCoy) | Quicksilver (Pietro Maximoff) | Wonder Man (Simon Williams) | X-Men | Cyclops (Scott Summers) | Emma Frost | Iceman (Bobby Drake) | Storm (Ororo Iqadi T'Challa) | Gambit (Remy LeBeau) | Rogue (Anna Marie) | Colossus (Piotr Rasputin) | Magneto (Erik Magnus Lehnsherr)
New Avengers Vol 2 18;Secondary;Dark Avengers Reborn!;;;2012-01;2011-11-09;Brian Michael Bendis;Mike Deodato;Dark Avengers | Norman Osborn | Skaar (Joins group) | Gorgon/Wolverine (Tomi Shishido) (First appearance as Wolverine), (Joins group) | Trickshot (Barney Barton) (Joins group) | Decapitator/Spider-Man (Ai Apaec) (First appearance as Spider-Man), (Joins group) | Superia/Ms. Marvel (Deidre Wentworth) (First appearance as Ms. Marvel), (Joins group) | Toxic Doxie/Scarlet Witch (June Covington) (First appearance as Scarlet Witch), (Joins group);;H.A.M.M.E.R. | Viper (Ophelia Sarkissian) | A.I.M. | Monica Rappaccini | Unnamed scientists | The Hand (Mentioned)
Secret Avengers Vol 1 19;Secondary;Aniana;;;2012-01;2011-11-23;Warren Ellis;Michael Lark;"Secret Avengers | Commander Steve Rogers | Agent 13 (Sharon Carter) | Black Widow (Natasha Romanoff) | Moon Knight (Marc Spector/""Steven Grant"")";Voydanoi (First and only known appearance, dies) | Voydanoi's men;
Avengers 1959 Vol 1 4;Limited;Part Four;;;2012-02;2011-12-14;Howard Chaykin;Howard Chaykin;Avengers | Namora | Sabretooth (Victor Creed) | Nick Fury | Kraven the Hunter (Sergei Kravinoff) | Dominic Fortune | Blonde Phantom (Louise Mason);ICON | Ubermadchen | Axis Annie (Apparent death) | Madame Mauser (Apparent death) | Fraulein Fatale (Apparent death) | Penny Panzer (Apparent death) | Geoffrey Sydenham | Innsbruck the Planner | Fritz Krone | Count von Blitzkrieg (First appearance) | General Dieter Skul | Vunderknight (First appearance) | Leopard Woman | Doctorangutan | Kron-bots | ICON Soldiers | Holhein | Bubenheimer | Senator Sanford;Powell McTeague | General Hill | Gorilla-Man (Ken Hale)
Avengers Vol 4 20;Main Series;Hail Hulk!;;Shattered Heroes;2012-02;2011-12-21;Brian Michael Bendis;Daniel Acuña;Avengers | Captain America (Steve Rogers) | Iron Man (Tony Stark) | Hawkeye (Clint Barton) | Spider-Woman (Jessica Drew) | Red Hulk (Thad Ross) | Storm (Ororo Munroe) | Vision | Protector (Noh-Varr) | Quake (Daisy Johnson) | Maria Hill;H.A.M.M.E.R. | Norman Osborn | Madame Hydra (Ophelia Sarkissian) | Superia (Deidre Wentworth) | Dr. Carolina Washington | A.I.M. scientists | The Hand (Mentioned) | Agent Derek Young (First appearance) | Hulked-Out HYDRA agents (First appearance) | Insectoid H.A.M.M.E.R. agents (First appearance) | Giant H.A.M.M.E.R. agent (First appearance);
Avengers: X-Sanction Vol 1 1;Limited;Midnight;;;2012-02;2011-12-14;Jeph Loeb;Ed McGuinness;Cable (Nathan Summers) (Main story and flashback);Avengers | Spider-Man (Peter Parker) | Wolverine (Logan) | Red Hulk (Thaddeus Ross) | Iron Man (Tony Stark) | Captain America (Steve Rogers) | Falcon (Sam Wilson) | Lethal Legion | Grim Reaper (Eric Williams) | Radioactive Man (Chen Lu) | Living Laser (Arthur Parks) | Whirlwind (David Cannon);Blaquesmith (First appearance) (Only in flashback)
New Avengers Vol 2 19;Secondary;Who's Your Goblin Daddy?;;;2012-02;2011-12-14;Brian Michael Bendis;Mike Deodato;New Avengers | Luke Cage | Jessica Jones | Spider-Man (Peter Parker) | Dr. Strange (Stephen Strange) | Iron Fist (Danny Rand) | Ms. Marvel (Carol Danvers) | Wolverine (Logan) | Mockingbird (Bobbi Morse) | Daredevil (Matt Murdock) | Victoria Hand;H.A.M.M.E.R. | Dark Avengers | Norman Osborn | Skaar | Wolverine/Gorgon (Tomi Shishido) | Trickshot (Barney Barton) | Spider-Man (Ai Apaec) | Ms. Marvel (Deidre Wentworth) | Scarlet Witch (June Covington) | Madame Hydra (Ophelia Sarkissian) | Atlantean monsters | Atlanteans;Squirrel Girl (Doreen Green) | Dani Cage | Iron Man (Tony Stark)
Secret Avengers Vol 1 20;Secondary;Encircle;;;2012-02;2011-12-28;Warren Ellis;Alex Maleev;Secret Avengers | Black Widow (Natasha Romanoff) | Commander Steve Rogers | Agent 13 (Sharon Carter) | War Machine (Jim Rhodes) | Beast (Hank McCoy);Shadow Council;"Harry Grindell ""Death-Ray"" Evans (Apparent death) | Kongo (First and only known appearance, dies) | ""Count"" Oscar Khronus (First and only known appearance, dies) | Dr. Druid (Anthony Ludgate)"
Avengers 1959 Vol 1 5;Limited;Part Five;;;2012-03;2012-01-11;Howard Chaykin;Howard Chaykin;Avengers | Sabretooth (Victor Creed) | Dominic Fortune | Nick Fury | Namora | Kraven the Hunter (Sergei Kravinoff) | Blonde Phantom (Louise Mason);ICON | Doctorangutan | Fritz Krone | Count von Blitzkrieg | General Dieter Skul | Leopard Woman | Vunderknight | Geoffrey Sydenham | Geist | Baron Blood (John Falsworth) | Brain Drain (Werner Schmidt) | Spider Queen (Shannon Kane) | Hollow Men | Kron-bots;Powell McTeague | General Hill
Avengers Annual Vol 3 1;Special;;;;2012-03;2012-01-04;Brian Michael Bendis;Gabriele Dell'Otto;Avengers | Iron Man (Tony Stark) | Thor | Maria Hill | Hawkeye (Clint Barton) | Spider-Man (Peter Parker) | Wolverine (Logan);;New Avengers | Ms. Marvel (Carol Danvers) | Luke Cage | Jessica Jones | Thing (Ben Grimm) | Mockingbird (Bobbi Morse) | Dr. Strange (Stephen Strange) | Danielle Cage | Squirrel Girl (Doreen Green) | Wong | Secret Avengers | Agent 13 (Sharon Carter) | Moon Knight (Marc Spector) | Ant-Man (Eric O'Grady) | Beast (Hank McCoy) | Commander Steve Rogers
Avengers Vol 4 21;Main Series;Mess with the Goddess, get the Storm!;;Shattered Heroes;2012-03;2012-01-18;Brian Michael Bendis;Renato Guedes;Avengers | Spider-Woman (Jessica Drew) | Hawkeye (Clint Barton) | Red Hulk (Thad Ross) | Storm (Ororo Munroe) | Iron Man (Tony Stark) | Protector (Noh-Varr) | Vision | Captain America (Steve Rogers) | Maria Hill;;
Avengers: X-Sanction Vol 1 2;Limited;Dawn;;;2012-03;2012-01-04;Jeph Loeb;Ed McGuinness;Cable (Nathan Summers) (Main story and flashback);Lethal Legion | Living Laser (Arthur Parks) | Radioactive Man (Chen Lu);Avengers | Captain America (Steve Rogers) | Iron Man (Tony Stark) | Red Hulk (Thaddeus Ross) | Falcon (Sam Wilson) | Hope Summers (Only in flashback)
New Avengers Vol 2 20;Secondary;New Vs. Dark... 'Nuff Said!;;;2012-03;2012-01-11;Brian Michael Bendis;Mike Deodato Jr;New Avengers | Jessica Jones | Luke Cage | Daredevil (Matt Murdock) | Dr. Strange (Stephen Strange) | Spider-Man (Peter Parker) | Wolverine (Logan) | Ms. Marvel (Carol Danvers) | Iron Fist (Danny Rand) | Mockingbird (Bobbi Morse) | Victoria Hand (Mentioned);Dark Avengers | Norman Osborn | Skaar | Wolverine (Tomi Shishido) | Ms. Marvel (Deidre Wentworth) | Spider-Man (Ai Apaec) | Trickshot (Barney Barton) | Scarlet Witch (June Covington) | Ragnarok (Joins group);Dani Cage | Squirrel Girl (Doreen Green)
Secret Avengers Vol 1 21;Secondary;Final Level;;;2012-03;2012-01-11;Warren Ellis;Stuart Immonen;Secret Avengers | Commander Steve Rogers | Agent 13 (Sharon Carter) (Leaves group) | Black Widow (Natasha Romanoff) | Valkyrie (Brunnhilde) | Beast (Hank McCoy) | Moon Knight (Marc Spector) (Leaves group) | War Machine (Jim Rhodes) (Leaves group);Shadow Council (Main story and flashback) | Ms. Hood (Member of O*N*E Houston Station Alpha Team) (First and only known appearance, dies) | Shadow Council two breeding experiments (Main story and flashback) (Only appearance, both die);O*N*E | Alpha Team (First appearance) | Mr. Akins (First appearance) | Ms. Sung (First appearance) | Baum (First appearance)
Secret Avengers Vol 1 21.1;Secondary;Red Light Nation;;;2012-03;2012-01-25;Rick Remender;Patrick Zircher;Secret Avengers | Captain America (Steve Rogers) | Hawkeye (Clint Barton) (Joins group);Shadow Council | 🢐 Max Fury 🢒 | Masters of Evil (Reassembled) | Vengeance (Kowalski) (Joins group) | 🢐 Whiplash (Anton Vanko) 🢒 | Princess Python (Zelda DuBois) (Joins group) | L.M.D. replica of unnamed senator (Only appearance, destruction);
Avengers Vol 4 22;Main Series;Beware the Gorgon!;;;2012-04;2012-02-15;Brian Michael Bendis;Renato Guedes;Avengers | Captain America (Steve Rogers) | Iron Man (Tony Stark) | Spider-Woman (Jessica Drew) | Red Hulk (Thad Ross) | Hawkeye (Clint Barton) (Behind the scenes) | Storm (Ororo Munroe) (Behind the scenes) | Protector (Noh-Varr) (Behind the scenes) | Quake (Daisy Johnson) | Vision;H.A.M.M.E.R. | Norman Osborn | Dr. Carolina Washington | Hydra | Madame Hydra | A.I.M. | Dr. Monica Rappaccini | A.I.M. scientists | H.A.M.M.E.R. Agents | Insectoid Agents (One unnamed apparent death) | Agent Bernard (First appearance) | The Hand (Mentioned);President Obama | Edwin Jarvis (Behind the scenes)
Avengers Vol 4 23;Main Series;The Hammer Falls;;;2012-04;2012-02-29;Brian Michael Bendis;Daniel Acuna;Avengers | Captain America (Steve Rogers) | Iron Man (Tony Stark) | Storm (Ororo Munroe) | Quake (Daisy Johnson) | Vision | Spider-Woman (Jessica Drew) | Red Hulk (Thad Ross) | Hawkeye (Clint Barton) | Protector (Noh-Varr) (Mentioned);"H.A.M.M.E.R. | Super-Adaptoid (Norman Osborn) (First Appearance as Super-Adaptoid) | ""Osborn's handpicked superteam"" (Mentioned) | Dr. Carolina Washington | Hydra | Madame Hydra | ""Hulked-Out"" Hydra Agents | Hand | Gorgon (Tomi Shishido) (Mentioned) | A.I.M. | Dr. Monica Rappaccini | Scientists | H.A.M.M.E.R. Agents";"Jarvis | President Obama (Topical Reference) | Obama's Cabinet | ""Madam Secretary"""
Avengers: X-Sanction Vol 1 3;Limited;Noon;;;2012-04;2012-02-01;Jeph Loeb;Ed McGuinness;Cable (Nathan Summers) (Main story and flashback);;Blaquesmith (Main story and flashback) | Avengers | Captain America (Steve Rogers) | Iron Man (Tony Stark) | Red Hulk (Thaddeus Ross) | New Avengers | Wolverine (Logan) | Spider-Man (Peter Parker) | X-Men (Utopia's Team) | Extinction Team | Cyclops (Scott Summers) | Hope Summers (Main story and flashback)
New Avengers Vol 2 21;Secondary;Ragnarok!;;;2012-04;2012-02-15;Brian Michael Bendis;Mike Deodato;New Avengers | Jessica Jones | Luke Cage | Daredevil (Matt Murdock) | Dr. Strange (Stephen Strange) | Spider-Man (Peter Parker) | Wolverine (Logan) | Ms. Marvel (Carol Danvers) | Iron Fist (Danny Rand) | Mockingbird (Bobbi Morse) | Victoria Hand (Mentioned);Dark Avengers | Ragnarok (Destroyed) | Norman Osborn | Skaar | Wolverine (Tomi Shishido) | Ms. Marvel (Deidre Wentworth) | Spider-Man (Ai Apaec) | Trickshot (Barney Barton) | Scarlet Witch (June Covington);Dani Cage | Squirrel Girl (Doreen Green)
New Avengers Vol 2 22;Secondary;The New Avengers Versus Authority;;;2012-04;2012-02-29;Brian Michael Bendis;Mike Deodato;New Avengers | Luke Cage | Daredevil (Matt Murdock) | Dr. Strange (Stephen Strange) | Spider-Man (Peter Parker) | Wolverine (Logan) | Ms. Marvel (Carol Danvers) | Iron Fist (Danny Rand) | Mockingbird (Bobbi Morse) | Victoria Hand | Jessica Jones (Mentioned);H.A.M.M.E.R. | Norman Osborn | Hydra (Mentioned) | Madame Hydra | Dark Avengers | Skaar (Leaves group) | Wolverine/Gorgon (Tomi Shishido) | Ms. Marvel (Deidre Wentworth) | Spider-Man (Ai Apaec) | Trickshot (Barney Barton) | Scarlet Witch (June Covington) | The Hand (Mentioned) | A.I.M. (Mentioned);Wong | Captain America (Steve Rogers)
Secret Avengers Vol 1 22;Secondary;The Descendants Part 1: New Life;;;2012-04;2012-02-08;Rick Remender;Gabriel Hardman;Secret Avengers | Captain Britain (Brian Braddock) (Joins group) | Hawkeye (Clint Barton) | Black Widow (Natasha Romanoff) | Valkyrie (Brunnhilde) | Beast (Hank McCoy) | Ant-Man (Eric O'Grady) | Giant-Man (Hank Pym) (Joins group) | Captain America (Steve Rogers) (Leaves group);"The Descendants (First appearance) | Descendants (First appearance) | Adaptoids | The Ideal/""Dr. Leivian"" (First appearance) | The Origin (First appearance) | The Urn (First appearance) | The Swine (First appearance) | Origin's miniature Hawkeye | Origin's miniature Beast | Origin's miniature Valkyrie | Origin's miniature Black Widow | Origin's miniature Captain Britain (First and only known appearance, dies) | 🢐 Father 🢒 (Cameo) | Lady Deathstrike (Yuriko Oyama) (Cameo) | Max Fury (Cameo) | Doomborg (Cameo) | Deathlok Wasp (First appearance) (Cameo) | ""Vision"" (Cameo) | ""Jocasta"" (Cameo) | Sentinaught (Cameo) | Skullbuster (Cameo) | unnamed terrorists | Ahmed | Riot (First and only known appearance)";Yalda (First appearance) | Parvez (First appearance)
Secret Avengers Vol 1 23;Secondary;The Descendents Part 2: A Victory for the Little Guy;;;2012-04;2012-02-22;Rick Remender;Gabriel Hardman;Secret Avengers | Hawkeye (Clint Barton) | Beast (Hank McCoy) | Ant-Man (Eric O'Grady) (Death) | Giant-Man (Hank Pym) | Captain Britain (Brian Braddock) | Black Widow (Natasha Romanoff) | Valkyrie (Brunnhilde) | Human Torch (Jim Hammond) (Joins group) | Agent Venom (Flash Thompson) (Joins group) | Captain America (Steve Rogers);The Descendants | Father | Descendants | Adaptoids | The Ideal | The Origin | The Urn | The Swine | Flash's doctor | Numerous Unnamed Descendants | Lady Deathstrike (Yuriko Oyama) | Skullbuster | Deathlok Miss America (First appearance) | Deathlok Wasp | Machine Men | Nimrod | Human Robot | Jocasta;Parvez | Yalda (Death)
Avengers Vol 4 24;Main Series;The Great and Powerful Osborn!;;;2012-05;2012-03-14;Brian Michael Bendis;Daniel Acuna;Avengers | Captain America (Steve Rogers) | Iron Man (Tony Stark) | Storm (Ororo Munroe) | Quake (Daisy Johnson) | Vision | Spider-Woman (Jessica Drew) | Red Hulk (Thad Ross) | Hawkeye (Clint Barton) | Protector (Noh-Varr);H.A.M.M.E.R. (Disbands) (Main story and flashback) | Super-Adaptoid (Norman Osborn) (Leaves group) (Main story and flashback) | Superia (Deidre Wentworth) (Leaves group) | Dr. Carolina Washington (Leaves group) | Hydra (Leaves group) | Madame Hydra (Main story and flashback) (Leaves group) | Hulked-Out Hydra Agents (Leaves group) | Hand (Leaves group) | A.I.M. (Leaves group) | Dr. Monica Rappaccini (Main story and flashback) (Leaves group) | Unnamed A.I.M. Agents (Leaves group) | H.A.M.M.E.R. Agents (Leaves group) (Join Hydra) | Giant H.A.M.M.E.R. Agents (Leaves group) (Join Hydra);New Avengers | Spider-Man (Peter Parker) | Wolverine (Logan) | Thing (Ben Grimm) | Daredevil (Matt Murdock) | Iron Fist (Daniel Rand) | Mockingbird (Barbara Morse) | Skaar | President Obama
Avengers Vol 4 24.1;Secondary;A Vision Of Things;;;2012-05;2012-03-28;Brian Michael Bendis;Brandon Peterson | David Finch;Avengers (Main story and recap) | Vision (Main story and recap) | Captain America (Steve Rogers) (Main story and recap) | Hawkeye (Clint Barton) (Main story and recap) | Iron Man (Tony Stark) | Spider-Woman (Jessica Drew);;She-Hulk (Jen Walters) (Main story and recap) (In recap as part of the Avengers) | X-Men (Utopia's Team) | Extinction Team | Cyclops (Scott Summers) | Emma Frost | Hope Summers | Magneto (Erik Lehnsherr) | Colossus (Peter Rasputin)
Avengers: The Children's Crusade Vol 1 9;Limited;The Children's Crusade - Finale;;;2012-05;2012-03-07;Allan Heinberg;Jim Cheung;Young Avengers (Disbands) | Wiccan (Billy Kaplan) (Leaves group) | Speed (Tommy Shepherd) (Leaves group) | Hulkling (Teddy Altman) (Leaves group) | Hawkeye (Kate Bishop) (Leaves group) | Patriot (Eli Bradley) (Leaves group) | Iron Lad (Nathaniel Richards) (Leaves group) | Vision (Jonas) (Destruction) | Stature (Cassie Lang) (Corpse, skeleton or other remains);Doctor Doom (Victor von Doom) (Mentioned) | Sentinels (Appears on screen) | Kang the Conqueror (Mentioned) | Dormammu (Mentioned) | Mephisto (Mentioned);Scarlet Witch (Wanda Maximoff) | Ant-Man (Scott Lang) | Quicksilver (Pietro Maximoff) | Wonder Man (Simon Williams) | Beast (Hank McCoy) | X-Men | Cyclops (Scott Summers) | Emma Frost | Iceman (Bobby Drake) | Storm (Ororo Munroe) | Gambit (Remy LeBeau) | Rogue (Anna Marie) | Colossus (Peter Rasputin) | Magneto (Erik Magnus Lehnsherr) | Avengers | Captain America (Steve Rogers) | Iron Man (Tony Stark) | Hawkeye (Clint Barton) | New Avengers | Luke Cage | Wolverine (Logan) | Spider-Man (Peter Parker) | Ms. Marvel (Carol Danvers) | Jessica Jones | X-Factor Investigations | Multiple Man (Jamie Madrox) | Shatterstar | Rictor (Julio Richter) | Strong Guy (Guido Carosella)
