ISSUE;TYPE;STORY TITLE;STORYLINE;EVENT;COVER DATE;RELEASE DATE;WRITER;PENCILER;MAIN CHARACTERS;ANTAGONISTS;SUPPORTING CHARACTERS
Avengers Vol 1 1;Main Series;The Coming of the Avengers!;;;1963-09;1963-07-02;Stan Lee;Jack Kirby;Avengers 🢒 (First appearance) (Origin revealed) | 🢐 Thor (Odinson) 🢒 / Dr. Donald Blake (Joins group) | 🢐 Hulk / Mechano (Bruce Banner) 🢒 (Joins group) | 🢐 Ant-Man (Hank Pym) 🢒 (Joins group) | 🢐 Wasp (Janet Van Dyne) 🢒 (Joins group) | 🢐 Iron Man (Tony Stark) 🢒 (Joins group);🢐 Loki 🢒 | Rock Trolls (First appearance) | Isle of Silence Trolls (First appearance);Teen Brigade | 🢐 Rick Jones 🢒 | Willie Bishop (First appearance) | Ant-Man's Ants
Avengers Vol 1 2;Main Series;The Avengers Battle... the Space Phantom;;;1963-11;1963-09-03;Stan Lee;Jack Kirby;Avengers | 🢐 Hulk (Bruce Banner) 🢒 (Leaves group) | 🢐 Thor (Odinson) 🢒 / 🢐 Donald Blake 🢒 | 🢐 Iron Man (Tony Stark) 🢒 | 🢐 Giant-Man (Henry Pym) 🢒 | 🢐 Wasp (Janet Van Dyne) 🢒;Space Phantom 🢒 (First appearance) (Impersonates Unidentified man, Hulk, Wasp, Giant-Man and Iron Man);Ant-Man's Ants | Teen Brigade | 🢐 Rick Jones 🢒 | Unnamed member
Avengers Vol 1 3;Main Series;The Avengers meet 'Sub-Mariner!';;;1964-01;1963-11-05;Stan Lee;Jack Kirby;Avengers | 🢐 Iron Man (Tony Stark) 🢒 | 🢐 Thor (Odinson) 🢒 / Dr. Donald Blake | 🢐 Wasp (Janet Van Dyne) 🢒 | 🢐 Giant-Man (Henry Pym) 🢒;🢐 Namor the Sub-Mariner 🢒 | 🢐 Hulk (Bruce Banner) 🢒;Teen Brigade | 🢐 Rick Jones 🢒 | 🢐 Jane Foster 🢒 | Ant-Man's Ants
Avengers Vol 1 4;Main Series;Captain America Joins... The Avengers!;;;1964-03;1964-01-03;Stan Lee;Jack Kirby;Avengers | 🢐 Thor (Odinson) 🢒 | 🢐 Iron Man (Tony Stark) 🢒 | 🢐 Giant-Man (Hank Pym) 🢒 | 🢐 Wasp (Janet Van Dyne) 🢒 | 🢐 Captain America (Steve Rogers) 🢒 (Joins team, first Silver Age appearance);🢐 Namor the Sub-Mariner 🢒 | 🢐 Baron Zemo 🢒 (First appearance) (Unnamed) (Only in flashback) | Unnamed mobsters | Vuk 🢒 (First appearance) (Unnamed) (Main story and flashback);Teen Brigade | 🢐 Rick Jones 🢒 | Various unnamed members
Avengers Vol 1 5;Main Series;The Invasion of The Lava Men!;;;1964-05;1964-03-03;Stan Lee;Jack Kirby;Avengers | 🢐 Giant-Man (Henry Pym) 🢒 | 🢐 Wasp (Janet Van Dyne) 🢒 | 🢐 Iron Man (Tony Stark) 🢒 | 🢐 Captain America (Steve Rogers) 🢒 | 🢐 Thor (Odinson) 🢒 / Dr. Donald Blake;Lava Men (Main story and flashback) | 🢐 Jinku 🢒 (First appearance) | 🢐 Basallo 🢒 | Numerous unnamed Lava Men;Teen Brigade | 🢐 Rick Jones 🢒 (Main story and recap) | Various unnamed members
Avengers Vol 1 6;Main Series;The Mighty Avengers Meet The Masters Of Evil!;;;1964-07;1964-05-05;Stan Lee;Jack Kirby;Avengers | 🢐 Iron Man (Tony Stark) 🢒 | 🢐 Thor (Odinson) 🢒 | 🢐 Wasp (Janet Van Dyne) 🢒 | 🢐 Giant-Man (Hank Pym) 🢒 | 🢐 Captain America (Steve Rogers) 🢒 (Main story and flashback);Masters of Evil (First appearance) | 🢐 Baron Zemo 🢒 (First full appearance) (Surname revealed) (Joins group) (Main story and flashback) | 🢐 Black Knight (Garrett) 🢒 (Joins and leaves team) | 🢐 Melter (Bruno Horgan) 🢒 (Joins and leaves team) | 🢐 Radioactive Man (Chen Lu) 🢒 (Joins and leaves team) | Franz Gruber 🢒 (First appearance) (Unnamed);Teen Brigade | 🢐 Rick Jones 🢒 | Tom (First appearance)
Avengers Vol 1 7;Main Series;Their Darkest Hour!;;;1964-08;1964-06-09;Stan Lee;Jack Kirby;Avengers | 🢐 Thor (Odinson) 🢒 | 🢐 Iron Man (Tony Stark) 🢒 | 🢐 Giant-Man (Hank Pym) 🢒 | 🢐 Wasp (Janet Van Dyne) 🢒 | 🢐 Captain America (Steve Rogers) 🢒;Masters of Evil | 🢐 Enchantress 🢒 (Joins group) | 🢐 Executioner / Hans Grubervelt 🢒 (Joins group) | 🢐 Baron Zemo 🢒 | Avengers-Earth-64087 (Dream) | Captain America (Steven Rogers) (Dream) | Iron Man (Tony Stark) (Dream) | Wasp (Janet Van Dyne) (Dream) | Giant-Man (Hank Pym) (Dream) | South American Natives;🢐 Rick Jones 🢒
Avengers Vol 1 8;Main Series;Kang, The Conqueror!;;;1964-09;1964-07-09;Stan Lee;Jack Kirby;Avengers | 🢐 Giant-Man (Hank Pym) 🢒 | 🢐 Iron Man (Tony Stark) 🢒 | 🢐 Wasp (Janet Van Dyne) 🢒 | 🢐 Thor Odinson 🢒 / Don Blake | 🢐 Captain America (Steve Rogers) 🢒;🢐 Kang the Conqueror 🢒 (First appearance as Kang the Conqueror) (Main story and flashback) | 40th Century Kang's Barbarian Army (First appearance) (Only in flashback);Teen Brigade | 🢐 Rick Jones 🢒
Avengers Vol 1 9;Main Series;The Coming Of The...Wonder Man!;;;1964-10;1964-08-11;Stan Lee;Don Heck;Avengers | 🢐 Iron Man (Tony Stark) 🢒 | 🢐 Thor (Odinson) 🢒 / Dr. Don Blake | 🢐 Giant-Man (Hank Pym) 🢒 | 🢐 Captain America (Steve Rogers) 🢒 | 🢐 Wasp (Janet Van Dyne) 🢒;Masters of Evil | 🢐 Baron Zemo 🢒 | 🢐 Enchantress 🢒 | 🢐 Executioner 🢒;Wonder Man (Simon Williams) 🢒 (First appearance) (Apparent death)
Avengers Vol 1 10;Main Series;The Avengers Break Up!;;;1964-11;1964-09-08;Stan Lee;Don Heck;Avengers | Giant-Man (Hank Pym) (First appearance) | Thor (Odinson) (First appearance) | Captain America (Steve Rogers) (First appearance) | Wasp (Janet van Dyne) (First appearance) | Iron Man (Tony Stark) (First appearance);"Immortus 🢒 (First appearance) | Masters of Evil (First appearance) | Baron Zemo (First appearance) | Enchantress (First appearance) | Executioner (First appearance) | ""Paul Bunyan"" (First appearance) | ""Attila the Hun"" (First appearance) | ""Goliath"" (First appearance) | ""Merlin"" (First appearance) | ""Hercules""";Teen Brigade | Rick Jones (First appearance) | Bill Bishop (First appearance) | Various unnamed members
Avengers Vol 1 11;Main Series;The Mighty Avengers Meet Spider-Man!;;;1964-12;1964-10-08;Stan Lee;Don Heck;Avengers | 🢐 Giant-Man (Hank Pym) 🢒 | 🢐 Thor (Odinson) 🢒 | 🢐 Captain America (Steve Rogers) 🢒 | 🢐 Wasp (Janet Van Dyne) 🢒;🢐 Kang 🢒 | Spider-Man Android 🢒 (First appearance) | Unnamed Androids;🢐 Rick Jones 🢒 | Ant-Man's Ants | 🢐 Spider-Man (Peter Parker) 🢒
Avengers Vol 1 12;Main Series;"""This Hostage Earth!""";;;1965-01;1964-11-10;Stan Lee;Don Heck;Avengers | 🢐 Giant-Man (Henry Pym) 🢒 | 🢐 Wasp (Janet Van Dyne) 🢒 | 🢐 Captain America (Steve Rogers) 🢒 | 🢐 Thor (Odinson) 🢒 | 🢐 Iron Man (Tony Stark) 🢒;🢐 Mole Man 🢒 (Main story and recap) | Numerous unnamed Moloids (Main story and recap) | Monk 🢒 (First appearance) | 🢐 Red Ghost 🢒;Ant-Man's Ants | 🢐 Rick Jones 🢒
Avengers Vol 1 13;Main Series;Trapped in... the Castle of Count Nefaria!;;;1965-02;1964-12-10;Stan Lee;Don Heck;Avengers | 🢐 Iron Man (Tony Stark) 🢒 | 🢐 Thor (Odinson) 🢒 | 🢐 Giant-Man (Henry Pym) 🢒 | 🢐 Wasp (Janet Van Dyne) 🢒 (Apparent death) | 🢐 Captain America (Steve Rogers) 🢒;The Maggia (First appearance) | Nefaria Family (First appearance) | Count Nefaria 🢒 (First appearance) | Numerous unnamed others (First appearance);Teen Brigade | 🢐 Rick Jones 🢒 | Ted | Charlie | Willie Bishop | Buddy
Avengers Vol 1 14;Main Series;Even Avengers Can Die!;;;1965-03;1965-01-12;Stan Lee | Larry Ivie | Larry Lieber;Don Heck;Avengers | 🢐 Giant-Man (Henry Pym) 🢒 | 🢐 Wasp (Janet Van Dyne) 🢒 | 🢐 Thor (Odinson) 🢒 | 🢐 Captain America (Steve Rogers) 🢒 | 🢐 Iron Man (Tony Stark) 🢒;Numerous unnamed Kallusians (First appearance) (Origin revealed) (Main story and flashback) | Ogor (First appearance) | Yirbek Armada (First appearance);Teen Brigade | 🢐 Rick Jones 🢒 | Various unnamed members | Dr. Hjarmal Svenson (First appearance)
Avengers Vol 1 15;Main Series;Now, By My Hand, Shall Die a Villain!;;;1965-04;1965-02-11;Stan Lee;Don Heck;Avengers | 🢐 Thor (Odinson) 🢒 / Dr. Don Blake | 🢐 Captain America (Steve Rogers) 🢒 | 🢐 Giant-Man (Hank Pym) 🢒 | 🢐 Iron Man (Tony Stark) 🢒 | 🢐 Wasp (Janet Van Dyne) 🢒;Masters of Evil | 🢐 Baron Zemo (Death) | 🢐 Enchantress 🢒 | 🢐 Executioner 🢒 | 🢐 Black Knight (Garrett) 🢒 (Rejoins team) | 🢐 Melter (Bruno Horgan) 🢒 (Rejoins team);🢐 Rick Jones 🢒
Avengers Vol 1 16;Main Series;The Old Order Changeth!;;;1965-05;1965-03-11;Stan Lee;Jack Kirby;Avengers | 🢐 Giant-Man (Hank Pym) 🢒 (Leaves group) | 🢐 Wasp (Janet Van Dyne) 🢒 (Leaves group) | 🢐 Iron Man (Tony Stark) 🢒 (Leaves group) | 🢐 Thor (Odinson) 🢒 (Leaves group) | 🢐 Captain America (Steve Rogers) 🢒 | 🢐 Hawkeye 🢒 (Joins group) (Main story and recap) | 🢐 Scarlet Witch (Wanda) 🢒 (Joins group) | 🢐 Quicksilver (Pietro) 🢒 (Joins group);Masters of Evil (Disbands) | 🢐 Melter (Bruno Horgan) 🢒 (Leaves group) | 🢐 Black Knight (Garrett) 🢒 (Leaves group) | 🢐 Executioner 🢒 (Leaves group) | 🢐 Enchantress 🢒 (Leaves group) | Baron Zemo (Grave) | Baron Zemo's Mercenaries;"🢐 Rick Jones 🢒 | 🢐 Edwin Jarvis 🢒 (Unnamed) | 🢐 Harold ""Happy"" Hogan 🢒"
Avengers Vol 1 17;Main Series;Four Against the Minotaur!;;;1965-06;1965-04-08;Stan Lee;Don Heck;Avengers | 🢐 Scarlet Witch (Wanda) 🢒 | 🢐 Quicksilver (Pietro) 🢒 | 🢐 Captain America (Steve Rogers) 🢒 | 🢐 Hawkeye 🢒;Minotaur (First and only known appearance) | Mole Man's Robot (Only appearance, destruction) | 🢐 Mole Man 🢒 | Moloids;🢐 Rick Jones 🢒
Avengers Vol 1 18;Main Series;When The Commissar Commands!;;;1965-07;1965-05-11;Stan Lee;Don Heck;Avengers | 🢐 Hawkeye 🢒 | 🢐 Scarlet Witch (Wanda) 🢒 | 🢐 Captain America (Steve Rogers) 🢒 | 🢐 Quicksilver (Pietro) 🢒;Commissar (First appearance) (Apparent death) | Major Hoy (First appearance) | Sin-Cong Army (First appearance);Edwin Jarvis (Unnamed)
Avengers Vol 1 19;Main Series;The Coming of... The Swordsman!;;;1965-08;1965-06-08;Stan Lee;Don Heck;Avengers | 🢐 Quicksilver (Pietro) 🢒 | 🢐 Scarlet Witch (Wanda) 🢒 | 🢐 Captain America (Steve Rogers) 🢒 | 🢐 Hawkeye 🢒 (Main story and flashback);Swordsman 🢒 (First appearance) (Main story and flashback) | Hydra | Blackie | Other Gangsters (Unnamed);
Avengers Vol 1 20;Main Series;Vengeance Is Ours!;;;1965-09;1965-07-08;Stan Lee;Don Heck;Avengers | 🢐 Captain America (Steve Rogers) 🢒 | 🢐 Swordsman 🢒 (Joins and leaves team) | 🢐 Hawkeye 🢒 | 🢐 Scarlet Witch (Wanda) 🢒 | 🢐 Quicksilver (Pietro) 🢒;🢐 Mandarin 🢒;
Avengers Vol 1 21;Main Series;The Bitter Taste of Defeat!;;;1965-10;1965-08-10;Stan Lee;Don Heck;Avengers | 🢐 Hawkeye 🢒 | 🢐 Captain America (Steve Rogers) 🢒 | 🢐 Quicksilver (Pietro) 🢒 | 🢐 Scarlet Witch (Wanda) 🢒;Power Man (Erik Josten) 🢒 (First appearance) | 🢐 Enchantress 🢒 (Main story and recap) | Monster (Illusion or holographic simulation);
Avengers Vol 1 22;Main Series;The Road Back;;;1965-11;1965-09-05;Stan Lee;Don Heck;Avengers | 🢐 Captain America (Steve Rogers) 🢒 (Leaves group) | 🢐 Hawkeye 🢒 | 🢐 Quicksilver (Pietro) 🢒 | 🢐 Scarlet Witch (Wanda) 🢒;🢐 Circus of Crime 🢒 | 🢐 Ringmaster 🢒 | 🢐 Princess Python 🢒 | 🢐 Bruto the Strong Man 🢒 | 🢐 Cannonball 🢒 | 🢐 Clown 🢒 | 🢐 Great Gambonnos 🢒 | 🢐 Enchantress 🢒 | 🢐 Power Man (Erik Josten) 🢒;
Avengers Vol 1 23;Main Series;Once an Avenger...;;;1965-12;1965-10-12;Stan Lee;Don Heck;Avengers | 🢐 Captain America (Steve Rogers) 🢒 (Rejoins team) | 🢐 Hawkeye 🢒 | 🢐 Quicksilver (Pietro) 🢒 | 🢐 Scarlet Witch (Wanda) 🢒;🢐 Kang the Conqueror 🢒 | Kang's Hordes;Ravonna 🢒 (First appearance) | King Carelius 🢒 (First appearance)
Avengers Vol 1 24;Main Series;From The Ashes of Defeat!;;;1966-01;1965-11-11;Stan Lee;Don Heck;Avengers | 🢐 Captain America (Steve Rogers) 🢒 | 🢐 Scarlet Witch (Wanda) 🢒 | 🢐 Hawkeye 🢒 | 🢐 Quicksilver (Pietro) 🢒;🢐 Kang 🢒 | Kang's Legions | Baltag (First and only known appearance, dies);🢐 Ravonna 🢒 | 🢐 King Carelius 🢒
Avengers Vol 1 25;Main Series;Enter...Dr. Doom!;;;1966-02;1965-12-09;Stan Lee;Don Heck;Avengers | 🢐 Captain America (Steve Rogers) 🢒 | 🢐 Hawkeye 🢒 | 🢐 Quicksilver (Pietro) 🢒 | 🢐 Scarlet Witch (Wanda) 🢒;🢐 Doctor Doom (Victor von Doom) 🢒 (Main story and recap) | Latverian police;
Avengers Vol 1 26;Main Series;The Voice of the Wasp!;;;1966-03;1966-01-11;Stan Lee;Don Heck;Avengers | 🢐 Captain America (Steve Rogers) 🢒 | 🢐 Hawkeye 🢒 | 🢐 Quicksilver (Pietro) 🢒 | 🢐 Scarlet Witch (Wanda) 🢒;🢐 Attuma 🢒 | Attuma's Barbarian Horde | 🢐 The Beetle (Abner Jenkins) 🢒 (Shadow only) (Cameo) (Controlled by Collector);🢐 The Wasp (Janet van Dyne) 🢒 | 🢐 Henry Pym 🢒
Avengers Vol 1 27;Main Series;"""Four Against the Floodtide!""";;;1966-04;1966-02-10;Stan Lee;Don Heck;Avengers | 🢐 Hawkeye 🢒 | 🢐 Captain America (Steve Rogers) 🢒 | 🢐 Quicksilver (Pietro) 🢒 | 🢐 Scarlet Witch (Wanda) 🢒;🢐 Beetle (Abner Jenkins) 🢒 (Controlled by Collector) | Collector (Behind the scenes) | Attuma's Barbarian Horde | 🢐 Attuma 🢒 | Giant Octopus;
Avengers Vol 1 28;Main Series;Among Us Walks a Goliath!;;;1966-05;1966-03-10;Stan Lee;Don Heck;Avengers | 🢐 Hawkeye 🢒 | 🢐 Scarlet Witch (Wanda) 🢒 | 🢐 Quicksilver (Pietro) 🢒 | 🢐 Captain America (Steve Rogers) 🢒 | 🢐 Goliath (Hank Pym) 🢒 (First appearance as Goliath) (Rejoins team) | 🢐 Wasp (Janet Van Dyne) 🢒 (Rejoins team);Collector 🢒 (First full appearance) | 🢐 Beetle (Abner Jenkins) 🢒 (Controlled by Collector) | Two giants;
Avengers Vol 1 29;Main Series;"""This Power Unleashed!""";;;1966-06;1966-04-12;Stan Lee;Don Heck;Avengers | 🢐 Wasp (Janet Van Dyne) 🢒 | 🢐 Hawkeye 🢒 | 🢐 Quicksilver (Pietro) 🢒 | 🢐 Scarlet Witch (Wanda) 🢒 | 🢐 Captain America (Steve Rogers) 🢒 | 🢐 Goliath (Hank Pym) 🢒;🢐 Black Widow (Natasha) 🢒 | 🢐 Swordsman 🢒 | 🢐 Power Man (Erik Josten) 🢒;Major Gordon Carlson (First and only known appearance)
Avengers Vol 1 30;Main Series;Frenzy in a Far-Off Land!;;;1966-07;1966-05-10;Stan Lee;Don Heck;Avengers | 🢐 Quicksilver (Pietro) 🢒 | 🢐 Scarlet Witch (Wanda) 🢒 | 🢐 Captain America (Steve Rogers) 🢒 | 🢐 Wasp (Janet Van Dyne) 🢒 | 🢐 Goliath (Hank Pym) 🢒 | 🢐 Hawkeye 🢒;🢐 Power Man (Erik Josten) 🢒 | 🢐 Swordsman 🢒 | Keeper of the Flame 🢒 (First appearance);🢐 Black Widow (Natasha) 🢒 | Prince Rey 🢒 (First appearance)
Avengers Vol 1 31;Main Series;"""Never Bug a Giant!""";;;1966-08;1966-06-09;Stan Lee;Don Heck;Avengers | Captain America (Steve Rogers) | 🢐 Hawkeye 🢒 | 🢐 Goliath (Hank Pym) 🢒 | 🢐 Wasp (Janet Van Dyne) 🢒 | 🢐 Quicksilver (Pietro) 🢒 (Leaves group) | 🢐 Scarlet Witch (Wanda) 🢒 (Leaves group);🢐 Prince Rey 🢒 (Main story and flashback) | 🢐 Keeper of the Flame (Lann) 🢒 (Main story and flashback);
Avengers Vol 1 32;Main Series;The Sign of the Serpent!;;;1966-09;1966-07-07;Stan Lee;Don Heck;Avengers | 🢐 Goliath (Hank Pym) 🢒 | 🢐 Captain America (Steve Rogers) 🢒 | 🢐 Wasp (Janet Van Dyne) 🢒 | 🢐 Hawkeye 🢒;Sons of the Serpent 🢒 (First appearance) | Supreme Serpent / General Tai Chen 🢒 (First appearance) | Numerous unnamed members;🢐 Black Widow (Natasha) 🢒 | Bill Foster 🢒 (First appearance) | 🢐 Scarlet Witch (Wanda) 🢒 | 🢐 Quicksilver (Pietro) 🢒 | S.H.I.E.L.D. | 🢐 Nick Fury 🢒 | Numerous unnamed S.H.I.E.L.D. agents
Avengers Vol 1 33;Main Series;To Smash a Serpent;;;1966-10;1966-08-09;Stan Lee;Don Heck | Jack Kirby;Avengers | 🢐 Captain America (Steve Rogers) 🢒 | 🢐 Hawkeye 🢒 | 🢐 Goliath (Hank Pym) 🢒 | 🢐 Wasp (Janet Van Dyne) 🢒;🢐 Sons of the Serpent 🢒 | 🢐 General Chen / Supreme Serpent | Numerous unnamed members | Captain America impersonator (First and only known appearance);🢐 Black Widow (Natasha) 🢒
Avengers Vol 1 34;Main Series;The Living Laser!;;;1966-11;1966-09-08;Stan Lee;Don Heck;Avengers | 🢐 Captain America (Steve Rogers) 🢒 | 🢐 Hawkeye 🢒 | 🢐 Goliath (Hank Pym) 🢒 | 🢐 Wasp (Janet Van Dyne) 🢒;Living Laser (Arthur Parks) 🢒 (First appearance);🢐 Bill Foster 🢒
Avengers Vol 1 35;Main Series;The Light That Failed!;;;1966-12;1966-10-11;Stan Lee | Roy Thomas;Don Heck;Avengers | 🢐 Hawkeye 🢒 | 🢐 Captain America (Steve Rogers) 🢒 | 🢐 Wasp (Janet Van Dyne) 🢒 | 🢐 Goliath (Hank Pym) 🢒;🢐 Living Laser (Arthur Parks) 🢒 | Costa Verde Rebels | Carlos (First appearance) | Juan (First appearance) | Manuel 🢒 (First appearance) | Valdez (First appearance) | Costa Verde Dictator General (First and only known appearance) | Costa Verde Army (First appearance);
Avengers Vol 1 36;Main Series;"""The Ultroids Attack!""";;;1967-01;1966-11-10;Roy Thomas;Don Heck;Avengers | 🢐 Captain America (Steve Rogers) 🢒 | 🢐 Hawkeye 🢒 | 🢐 Wasp (Janet Van Dyne) 🢒 | 🢐 Goliath (Hank Pym) 🢒;Ultrana 🢒 (First appearance) (Impersonates Scarlet Witch) (Main story and flashback) | Ixar 🢒 (First appearance);🢐 Black Widow (Natasha) 🢒 | 🢐 Quicksilver (Pietro) 🢒 (Main story and recap) | 🢐 Scarlet Witch (Wanda) 🢒 (Main story and recap)
Avengers Vol 1 37;Main Series;"""To Conquer a Colossus!""";;;1967-02;1966-12-08;Roy Thomas;Don Heck;Avengers | 🢐 Captain America (Steve Rogers) 🢒 | 🢐 Goliath (Hank Pym) 🢒 | 🢐 Hawkeye 🢒 | 🢐 Quicksilver (Pietro) 🢒 (Rejoins team) | 🢐 Scarlet Witch (Wanda) 🢒 (Rejoins team) | 🢐 Wasp (Janet Van Dyne) 🢒;Numerous unnamed Ultroids (Main story and flashback) | 🢐 Ultrana | 🢐 Ixar The Invincible (Main story and flashback) (Origin revealed);🢐 Black Widow (Natasha) 🢒
Avengers Vol 1 38;Main Series;"""In Our Midst... an Immortal!""";;;1967-03;1967-01-10;Roy Thomas;Don Heck;Avengers | 🢐 Goliath (Henry Pym) 🢒 | 🢐 Wasp (Janet Van Dyne) 🢒 | 🢐 Hawkeye 🢒 | 🢐 Scarlet Witch (Wanda) 🢒 | 🢐 Quicksilver (Pietro) 🢒 | 🢐 Captain America (Steve Rogers) 🢒 (Main story and recap, leaves team);🢐 Ares 🢒 | 🢐 Enchantress 🢒;🢐 Hercules 🢒
Avengers Vol 1 39;Main Series;"""The Torment...and the Triumph!""";;;1967-04;1967-02-14;Roy Thomas;Don Heck;Avengers | 🢐 Hawkeye 🢒 | 🢐 Quicksilver (Pietro) 🢒 | 🢐 Scarlet Witch (Wanda) 🢒 | 🢐 Goliath (Hank Pym) 🢒 | 🢐 Wasp (Janet Van Dyne) 🢒;🢐 Mad Thinker 🢒 | Triumvirate of Terror (First and only known appearance) | Hammerhead (First and only known appearance) | Piledriver (First and only known appearance) | Thunderboot (First and only known appearance);🢐 Hercules 🢒
Avengers Vol 1 40;Main Series;Suddenly...the Sub-Mariner!;;;1967-05;1967-03-14;Roy Thomas;Don Heck;Avengers | 🢐 Hawkeye 🢒 | 🢐 Goliath (Hank Pym) 🢒 | 🢐 Wasp (Janet Van Dyne) 🢒 | 🢐 Scarlet Witch (Wanda) 🢒 | 🢐 Quicksilver (Pietro) 🢒;🢐 Namor the Sub-Mariner 🢒 | Amalga-Beast (First and only known appearance);🢐 Hercules 🢒 | 🢐 Captain America (Steve Rogers) 🢒
Avengers Vol 1 41;Main Series;Let Sleeping Dragons Lie!;;;1967-06;1967-04-11;Roy Thomas;John Buscema;Avengers | 🢐 Hawkeye 🢒 | 🢐 Scarlet Witch (Wanda) 🢒 | 🢐 Quicksilver (Pietro) 🢒 | 🢐 Goliath (Hank Pym) 🢒 | 🢐 Wasp (Janet Van Dyne) 🢒;🢐 Dragon Man 🢒 (Main story and recap) | 🢐 Diablo 🢒;🢐 Hercules 🢒
Avengers Vol 1 42;Main Series;"""The Plan --- and the Power!""";;;1967-07;1967-05-09;Roy Thomas;John Buscema;Avengers | 🢐 Hawkeye 🢒 | 🢐 Quicksilver (Pietro) 🢒 | 🢐 Scarlet Witch (Wanda) 🢒 | 🢐 Goliath (Hank Pym) 🢒 | 🢐 Wasp (Janet Van Dyne) 🢒 | 🢐 Captain America (Steve Rogers) 🢒 (Rejoins team);🢐 Diablo 🢒 | Numerous unnamed Dragon Men clones | 🢐 Dragon Man 🢒 | 🢐 Colonel Ling 🢒 | Ling's unnamed guards | 🢐 Dr. Yen;🢐 Hercules 🢒
Avengers Vol 1 43;Main Series;Color Him... the Red Guardian!;;;1967-08;1967-06-08;Roy Thomas;John Buscema;Avengers | 🢐 Quicksilver (Pietro) 🢒 | 🢐 Hawkeye 🢒 | 🢐 Captain America (Steve Rogers) 🢒 | 🢐 Scarlet Witch (Wanda) 🢒 | 🢐 Goliath (Hank Pym) 🢒 | 🢐 Wasp (Janet Van Dyne) 🢒;Bruiser Bates (First and only known appearance) | 🢐 Colonel Ling 🢒 | Red Guardian 🢒 (First appearance) | General Brushov 🢒 (First appearance);🢐 Hercules 🢒 | S.H.I.E.L.D. | 🢐 Black Widow (Natasha) 🢒
Avengers Annual Vol 1 1;Special;The Monstrous Master Plan of the Mandarin!;;;1967-09;1967-07-11;Roy Thomas;Don Heck;Avengers | 🢐 Iron Man (Tony Stark) 🢒 (Rejoins team) | 🢐 Hawkeye 🢒 | 🢐 Captain America (Steve Rogers) 🢒 | 🢐 Goliath (Hank Pym) 🢒 | 🢐 Wasp (Janet Van Dyne) 🢒 | 🢐 Thor (Odinson) 🢒 / Dr. Don Blake (Rejoins team) | 🢐 Scarlet Witch (Wanda) 🢒 | 🢐 Quicksilver (Pietro) 🢒;🢐 Living Laser (Arthur Parks) 🢒 | 🢐 Mandarin 🢒 (Apparent death) | 🢐 Swordsman 🢒 | 🢐 Executioner 🢒 | 🢐 Enchantress 🢒 | 🢐 Power Man (Erik Josten) 🢒 | Mandarin's henchmen | Artificial Frost Giant | 🢐 Ultimo 🢒;🢐 Hercules 🢒
Avengers Vol 1 44;Main Series;The Valiant Also Die!;;;1967-09;1967-07-11;Roy Thomas;John Buscema;Avengers | 🢐 Hawkeye 🢒 | 🢐 Goliath (Hank Pym) 🢒 | 🢐 Captain America (Steve Rogers) 🢒 | 🢐 Wasp (Janet Van Dyne) 🢒 | 🢐 Quicksilver (Pietro) 🢒 | 🢐 Scarlet Witch (Wanda) 🢒;Red Guardian (Alexi) (Main story and flashback, first name revealed) (Apparent death) | 🢐 Colonel Ling (Death) | 🢐 General Brushov | Numerous unnamed enemy soldiers;S.H.I.E.L.D. (Main story and flashback) | 🢐 Black Widow (Natasha) 🢒 (Main story and flashback) | 🢐 Hercules 🢒
Avengers Vol 1 45;Main Series;"""Blitzkrieg in Central Park!""";;;1967-10;1967-08-08;Roy Thomas;Don Heck;Avengers | 🢐 Iron Man (Tony Stark) 🢒 (Leaves group) | 🢐 Thor (Odinson) 🢒 (Leaves group) | 🢐 Hercules 🢒 (Joins group) | 🢐 Scarlet Witch (Wanda) 🢒 | 🢐 Quicksilver (Pietro) 🢒 | 🢐 Captain America (Steve Rogers) 🢒 (Main story and recap) | 🢐 Goliath (Hank Pym) 🢒 | 🢐 Wasp (Janet Van Dyne) 🢒 | 🢐 Hawkeye 🢒 (Main story and flashback);🢐 Super-Adaptoid 🢒 (Main story and recap);
Avengers Vol 1 46;Main Series;"""The Agony and the Anthill!""";;;1967-11;1967-09-07;Roy Thomas;John Buscema;Avengers | 🢐 Quicksilver (Pietro) 🢒 | 🢐 Goliath (Hank Pym) 🢒 | 🢐 Hercules 🢒 | 🢐 Captain America (Steve Rogers) 🢒 | 🢐 Scarlet Witch (Wanda) 🢒 | 🢐 Hawkeye 🢒 | 🢐 Wasp (Janet Van Dyne) 🢒;🢐 Whirlwind (David Cannon) 🢒 (First appearance as Whirlwind) (Main story and recap) | Red Ants (Death of several);🢐 Black Widow (Natasha) 🢒 | Goliath's Ants
