ISSUE;TYPE;STORY TITLE;STORYLINE;EVENT;COVER DATE;RELEASE DATE;WRITER;PENCILER;MAIN CHARACTERS;ANTAGONISTS;SUPPORTING CHARACTERS
Fantastic Four Vol 1 223;Main Series;That a Child May Live...;;;1980-10;1980-07-22;Doug Moench;Bill Sienkiewicz;Fantastic Four | 🢐 Mr. Fantastic 🢒 | 🢐 Invisible Girl 🢒 | 🢐 Human Torch 🢒 | 🢐 Thing 🢒;🢐 Nicholas Scratch 🢒 | Salem's Seven | 🢐 Vertigo 🢒 | 🢐 Brutacus 🢒 | 🢐 Gazelle 🢒 | 🢐 Vakume 🢒 | 🢐 Hydron 🢒 | 🢐 Thornn 🢒 | 🢐 Reptilla 🢒;🢐 Agatha Harkness 🢒 | 🢐 Franklin Richards 🢒
Fantastic Four Vol 1 224;Main Series;The Darkfield Illumination;;;1980-11;1980-08-26;Doug Moench;Bill Sienkiewicz;Fantastic Four | 🢐 Mister Fantastic 🢒 | 🢐 Invisible Girl 🢒 | 🢐 Thing 🢒 | 🢐 Human Torch 🢒;Harek Korgon 🢒 (First appearance) (Origin revealed) (Main story and flashback) | Wiglir (First appearance) | Hrolf (First appearance) | Kraki (First appearance);🢐 Franklin Richards 🢒 | 🢐 Alicia Masters 🢒
Fantastic Four Vol 1 225;Main Series;The Blind God's Tears;;;1980-12;1980-09-23;Doug Moench;Bill Sienkiewicz;Fantastic Four | 🢐 Mister Fantastic 🢒 | 🢐 Invisible Girl 🢒 | 🢐 Thing 🢒 | 🢐 Human Torch 🢒;🢐 Harek Korgon | Wiglir | Hrolf | Kraki;🢐 Thor 🢒 | 🢐 Odin Borson 🢒 | 🢐 Alicia Masters 🢒 | 🢐 Franklin Richards 🢒
Fantastic Four Vol 1 226;Main Series;The Samurai Destroyer;;;1981-01;1980-10-28;Doug Moench;Bill Sienkiewicz;Fantastic Four | 🢐 Mister Fantastic 🢒 | 🢐 Invisible Girl 🢒 | 🢐 Thing 🢒 | 🢐 Human Torch 🢒;William McLaughlin (Main story and flashback) (First and only known appearance);Agents of the Light | 🢐 Ilongo Savage (Main story, flashback and flashforward) | 🢐 Richard Carson (Main story, flashback and flashforward) | 🢐 Genji Odashu 🢒 (Main story, flashback and flashforward)
Fantastic Four Vol 1 227;Main Series;The Brain Parasites!;;;1981-02;1980-11-25;Doug Moench;Bill Sienkiewicz;Fantastic Four | 🢐 Mister Fantastic (Reed Richards) 🢒 | 🢐 Invisible Girl (Susan Richards) 🢒 | 🢐 Thing (Ben Grimm) 🢒 | 🢐 Human Torch (Johnny Storm) 🢒;Alien parasites (First and only known appearance);🢐 Franklin Richards 🢒 | 🢐 Alicia Masters 🢒 | Gideon Carruthers
Fantastic Four Vol 1 228;Main Series;Ego-Spawn;;;1981-03;1980-12-23;Doug Moench;Bill Sienkiewicz;Fantastic Four | 🢐 Mister Fantastic 🢒 | 🢐 Invisible Girl 🢒 | 🢐 Thing 🢒 | 🢐 Human Torch 🢒;Franco Berardi (First and only known appearance)/Ego-Spawn 🢒 (First appearance);🢐 Franklin Richards 🢒 | 🢐 Lorrie Melton 🢒
Fantastic Four Vol 1 229;Main Series;The Thing from the Black Hole;;;1981-04;1981-01-20;Doug Moench;Bill Sienkiewicz;Fantastic Four | 🢐 Mister Fantastic 🢒 | 🢐 Invisible Girl 🢒 | 🢐 Thing 🢒 | 🢐 Human Torch 🢒;Ebon Seeker 🢒 (First appearance);🢐 Alicia Masters 🢒 | 🢐 Franklin Richards 🢒 | 🢐 Lorrie Melton 🢒
Fantastic Four Vol 1 230;Main Series;Firefrost and the Ebon Seeker;;;1981-05;1981-02-24;Doug Moench;Bill Sienkiewicz;Fantastic Four | 🢐 Reed Richards 🢒 | 🢐 Sue Richards 🢒 | 🢐 Johnny Storm 🢒 | 🢐 Ben Grimm 🢒;🢐 Firefrost 🢒 | 🢐 Ebon Seeker 🢒;🢐 Alicia Masters 🢒 | 🢐 Franklin Richards 🢒 | 🢐 Lorrie Melton 🢒
Fantastic Four Vol 1 231;Main Series;In All the Gathered Gloom!;;;1981-06;1981-03-24;Doug Moench | Roger Stern;Bill Sienkiewicz | Jerome Moore;Fantastic Four | 🢐 Mister Fantastic 🢒 | 🢐 Invisible Girl 🢒 | 🢐 Thing 🢒 | 🢐 Human Torch 🢒;Stygorr (First appearance);🢐 Alicia Masters 🢒 | 🢐 Franklin Richards 🢒 | 🢐 Lorrie Melton
Fantastic Four Vol 1 232;Main Series;Back to the Basics!;;;1981-07;1981-04-21;John Byrne;John Byrne;Fantastic Four | 🢐 Mister Fantastic (Reed Richards) 🢒 | 🢐 Invisible Girl (Susan Storm) 🢒 | 🢐 Thing (Ben Grimm) 🢒 | 🢐 Human Torch (Johnny Storm) 🢒;🢐 Diablo (Esteban Corazon de Ablo) 🢒 | Elementals of Doom (First appearance) | Air 🢒 (First appearance) | Earth 🢒 (First appearance) | Fire 🢒 (First appearance) | Water 🢒 (First appearance);🢐 Doctor Strange (Stephen Strange) 🢒 | 🢐 Frankie Raye 🢒 | 🢐 Alicia Masters 🢒
