ISSUE;TYPE;STORY TITLE;STORYLINE;EVENT;COVER DATE;RELEASE DATE;WRITER;PENCILER;MAIN CHARACTERS;ANTAGONISTS;SUPPORTING CHARACTERS
Fantastic Four Vol 1 1;Main Series;The Fantastic Four;;;1961-11;1961-08-08;Stan Lee;Jack Kirby;"Fantastic Four (First Appearance and Origin for Entire Team) | Mister Fantastic (Reed Richards) (See chronology) | Invisible Girl (Susan ""Sue"" Storm) (See chronology) | Human Torch (Jonathan ""Johnny"" Storm) (See chronology) | Thing (Benjamin ""Ben"" Grimm) (See chronology)";🢐 Mole Man 🢒 (First appearance) (Origin revealed) | Giganto 🢒 (First appearance) | Tricephalous 🢒 (First appearance) | Rock Monster Guardian (Ugu) 🢒 (First appearance) | Overseer (Behind the scenes);
Fantastic Four Vol 1 2;Main Series;The Fantastic Four Meet the Skrulls from Outer Space!;;;1962-01;1961-09-28;Stan Lee;Jack Kirby;Fantastic Four (Main story and recap) | 🢐 Mister Fantastic (Reed Richards) 🢒 (Main story and recap) | 🢐 Invisible Girl (Susan Storm) 🢒 (Main story and recap) | 🢐 Thing (Ben Grimm) 🢒 (Main story and recap) | 🢐 Human Torch (Johnny Storm) 🢒 (Main story and recap);Skrull Empire (First appearance) | Fantastic Four Impostors 🢒 (First appearance) | Thing Impostor 🢒 (First appearance) (changed into Cow) | Invisible Girl Impostor 🢒 (First appearance) (escaped) | Mister Fantastic Impostor 🢒 (First appearance) (changed into Cow) | Human Torch Impostor 🢒 (First appearance) (changed into Cow) | Skrull mother ship captain;Central City Police Chief | United States Army
Fantastic Four Vol 1 3;Main Series;The Menace of the Miracle Man;;;1962-03;1961-12-12;Stan Lee;Jack Kirby;Fantastic Four | Mister Fantastic (Reed Richards) (See chronology) | Invisible Girl (Susan Storm) (See chronology) | Human Torch (Johnny Storm) (See chronology) | Thing (Ben Grimm) (See chronology);Miracle Man 🢒 (First appearance) | The Monster from Mars (First and only known appearance) (Destroyed);
Fantastic Four Vol 1 4;Main Series;The Coming of... Sub-Mariner!;;;1962-05;1962-02-08;Stan Lee;Jack Kirby;Fantastic Four | 🢐 Mister Fantastic 🢒 | 🢐 Invisible Girl 🢒 | Human Torch (See chronology) | 🢐 Thing 🢒;Namor the Sub-Mariner (First Silver Age appearance) (See chronology) | Giganto 🢒 (First appearance) (Death);
Fantastic Four Vol 1 5;Main Series;Prisoners of Doctor Doom!;;;1962-07;1962-04-10;Stan Lee;Jack Kirby;🢐 The Fantastic Four 🢒 | Mister Fantastic (See chronology) | Invisible Girl (See chronology) | The Thing (See chronology) (Poses as Blackbeard) | Human Torch (See chronology);Doctor Doom (First appearance) (See chronology) | 🢐 Gunther the tiger 🢒 (First appearance) | Doom's pet vulture | Doombot (First appearance);
Fantastic Four Vol 1 6;Main Series;Captives of the Deadly Duo!;;;1962-09;1962-06-12;Stan Lee;Jack Kirby;🢐 Fantastic Four 🢒 | 🢐 Mister Fantastic (Reed Richards) 🢒 | 🢐 Invisible Girl (Susan Storm) 🢒 | 🢐 Thing (Ben Grimm) 🢒 | 🢐 Human Torch (Johnny Storm) 🢒;Diabolical Duo | 🢐 Doctor Doom (Victor von Doom) 🢒 | 🢐 Sub-Mariner (Namor) 🢒;
Fantastic Four Vol 1 7;Main Series;Prisoners of Kurrgo, Master of Planet X;;;1962-10;1962-07-03;Stan Lee;Jack Kirby;The Fantastic Four | 🢐 Human Torch (Johnny Storm) 🢒 | 🢐 Invisible Girl (Sue Storm) 🢒 | 🢐 Mr. Fantastic (Reed Richards) 🢒 | 🢐 Thing (Ben Grimm) 🢒;Kurrgo 🢒 (First appearance) | Kurrgo's Robot 🢒 (First appearance);
Fantastic Four Vol 1 8;Main Series;Prisoners of the Puppet Master!;;;1962-11;1962-08-09;Stan Lee;Jack Kirby;Fantastic Four | 🢐 Mister Fantastic (Reed Richards) 🢒 | 🢐 Invisible Girl (Sue Storm) 🢒 | 🢐 Human Torch (Johnny Storm) 🢒 | 🢐 Thing (Ben Grimm) 🢒;🢐 Puppet Master 🢒 (First appearance) (Apparent death);🢐 Alicia Masters 🢒 (First appearance)
Fantastic Four Vol 1 9;Main Series;The End of the Fantastic Four!;;;1962-12;1962-09-04;Stan Lee;Jack Kirby;The Fantastic Four | 🢐 Mister Fantastic (Reed Richards) 🢒 | 🢐 Invisible Girl (Sue Storm) 🢒 | 🢐 Human Torch (Johnny Storm) 🢒 | The Thing (Ben Grimm) (See chronology);🢐 Namor the Sub-Mariner 🢒;🢐 Alicia Masters 🢒
Fantastic Four Vol 1 10;Main Series;The Return of Doctor Doom!;;;1963-01;1962-10-09;Stan Lee;Jack Kirby;Fantastic Four | 🢐 Mister Fantastic (Reed Richards) 🢒 | 🢐 Invisible Girl (Susan Storm) 🢒 | 🢐 Human Torch (Johnny Storm) 🢒 | 🢐 Thing (Ben Grimm) 🢒;Doctor Doom (Victor von Doom) (See chronology);🢐 Alicia Masters 🢒
Fantastic Four Vol 1 11;Main Series;A Visit With the Fantastic Four;;;1963-02;1962-11-01;Stan Lee;Jack Kirby;Fantastic Four | Human Torch (Johnny Storm) (See chronology) | Invisible Girl (Susan Storm) (See chronology) | Mister Fantastic (Reed Richards) (See chronology) | Thing (Ben Grimm) (See chronology);Yancy Street Gang;Willie Lumpkin 🢒 (First Silver Age appearance)
Fantastic Four Vol 1 12;Main Series;The Incredible Hulk;;;1963-03;1962-12-10;Stan Lee;Jack Kirby;Fantastic Four | Mister Fantastic (Reed Richards) (See chronology) | Invisible Girl (Susan Storm) (See chronology) | Human Torch (Johnny Storm) (See chronology) | Thing (Ben Grimm) (See chronology);The Wrecker (Karl Kort) (First appearance) (See chronology);Hulk (Bruce Banner) (See chronology) | General Thaddeus Ross (See chronology) | 🢐 Rick Jones 🢒
Fantastic Four Vol 1 13;Main Series;The Fantastic Four Versus the Red Ghost and His Indescribable Super-Apes!;;;1963-04;1963-01-03;Stan Lee;Jack Kirby;Fantastic Four | 🢐 Mister Fantastic 🢒 | 🢐 Invisible Girl 🢒 | 🢐 Human Torch 🢒 | 🢐 Thing 🢒;;Watcher 🢒 (First appearance)
Fantastic Four Vol 1 14;Main Series;The Merciless Puppet Master;;;1963-05;1963-02-12;Stan Lee;Jack Kirby;Fantastic Four | 🢐 Mister Fantastic (Reed Richards) 🢒 | 🢐 Invisible Girl (Susan Storm) 🢒 | 🢐 Human Torch (Johnny Storm) 🢒 | 🢐 Thing (Ben Grimm) 🢒;🢐 Namor the Sub-Mariner 🢒 | 🢐 Puppet Master (Phillip Masters) 🢒;🢐 Alicia Masters 🢒
Fantastic Four Vol 1 15;Main Series;The Fantastic Four Battle the Mad Thinker and His Awesome Android;;;1963-06;1963-03-12;Stan Lee;Jack Kirby;Fantastic Four | 🢐 Mister Fantastic (Reed Richards) 🢒 | 🢐 Invisible Girl (Susan Storm) 🢒 | 🢐 Human Torch (Johnny Storm) 🢒 | 🢐 Thing (Ben Grimm) 🢒;Mad Thinker 🢒 (First appearance) | Awesome Android 🢒 (First appearance) | Various gangsters | Blackie Skarr (First and only known appearance);🢐 Alicia Masters 🢒 | 🢐 Willie Lumpkin 🢒
Fantastic Four Vol 1 16;Main Series;The Micro-World of Doctor Doom!;;;1963-07;1963-04-09;Stan Lee;Jack Kirby;Fantastic Four | Mister Fantastic (Reed Richards) (See chronology) | Invisible Girl (Susan Storm) (See chronology) | Human Torch (Johnny Storm) (See chronology) | Thing (Ben Grimm) (See chronology);Doctor Doom (Victor Von Doom) (See chronology);Ant-Man (Hank Pym) (See chronology) | 🢐 Alicia Masters 🢒
Fantastic Four Annual Vol 1 1;Special;Sub-Mariner Versus the Human Race!;;;1963-07;1963-07-02;Stan Lee;Jack Kirby;Fantastic Four | 🢐 Mister Fantastic (Reed Richards) 🢒 | 🢐 Invisible Girl (Susan Storm) 🢒 | 🢐 Human Torch (Johnny Storm) 🢒 | 🢐 Thing (Ben Grimm) 🢒;🢐 Sub-Mariner (Namor) 🢒 | 🢐 Warlord Krang 🢒 (First appearance) | 🢐 Lady Dorma 🢒 (First Silver Age appearance) | Atlantean Navy (First appearance) | Atlantean Army;🢐 Alicia Masters 🢒
Fantastic Four Vol 1 17;Main Series;Defeated by Doctor Doom!;;;1963-08;1963-05-09;Stan Lee;Jack Kirby;Fantastic Four | 🢐 Mister Fantastic (Reed Richards) 🢒 (Appears in flashback) | 🢐 Invisible Girl (Susan Storm) 🢒 (Appears in flashback) | 🢐 Human Torch (Johnny Storm) 🢒 (Appears in flashback) | 🢐 Thing (Ben Grimm) 🢒 (Appears in flashback);🢐 Doctor Doom (Victor Von Doom) 🢒 (Appears in flashback);🢐 Alicia Masters 🢒
Fantastic Four Vol 1 18;Main Series;A Skrull Walks Among Us!;;;1963-09;1963-06-11;Stan Lee;Jack Kirby;Fantastic Four | 🢐 Human Torch (Johnny Storm) 🢒 | 🢐 Invisible Girl (Susan Storm) 🢒 | 🢐 Mister Fantastic (Reed Richards) 🢒 | 🢐 Thing (Ben Grimm) 🢒;Skrull Empire | 🢐 Dorrek VII 🢒 (First appearance) | 🢐 Super-Skrull (Kl'rt) 🢒 (First appearance);
Fantastic Four Vol 1 19;Main Series;Prisoners of the Pharoah!;;;1963-10;1963-07-09;Stan Lee;Jack Kirby;Fantastic Four | Mister Fantastic (Reed Richards) (See chronology) | Human Torch (Johnny Storm) (See chronology) | Invisible Girl (Susan Storm) (See chronology) | Thing (Ben Grimm) (See chronology);Rama-Tut (First appearance) (See chronology);🢐 Alicia Masters 🢒
Fantastic Four Vol 1 20;Main Series;The Mysterious Molecule Man!;;;1963-11;1963-08-08;Stan Lee;Jack Kirby;Fantastic Four | 🢐 Mister Fantastic (Reed Richards) 🢒 | 🢐 Invisible Girl (Susan Storm) 🢒 | 🢐 Human Torch (Johnny Storm) 🢒 | 🢐 Thing (Ben Grimm) 🢒;🢐 Molecule Man (Owen Reece) 🢒 (First appearance) (Origin revealed);🢐 Alicia Masters 🢒 | 🢐 Watcher (Uatu) 🢒
Fantastic Four Vol 1 21;Main Series;The Hate-Monger!;;;1963-12;1963-09-10;Stan Lee;Jack Kirby;The Fantastic Four | 🢐 Mister Fantastic (Reed Richards) 🢒 | 🢐 Invisible Girl (Susan Storm) 🢒 | 🢐 Human Torch (Johnny Storm) 🢒 | 🢐 Thing (Ben Grimm) 🢒;🢐 Hate-Monger (Adolf Hitler) 🢒 (First appearance);🢐 Nick Fury 🢒 | 🢐 Alicia Masters 🢒
Fantastic Four Vol 1 22;Main Series;The Return of the Mole Man!;;;1964-01;1963-10-08;Stan Lee;Jack Kirby;Fantastic Four | 🢐 Mister Fantastic (Reed Richards) 🢒 | 🢐 Invisible Girl (Susan Storm) 🢒 | 🢐 Human Torch (Johnny Storm) 🢒 | 🢐 Thing (Ben Grimm) 🢒;🢐 Mole Man 🢒;
Fantastic Four Vol 1 23;Main Series;The Master Plan of Doctor Doom!;;;1964-02;1963-11-12;Stan Lee;Jack Kirby;Fantastic Four | 🢐 Mister Fantastic (Reed Richards) 🢒 | 🢐 Invisible Girl (Susan Storm) 🢒 | 🢐 Human Torch (Johnny Storm) 🢒 | 🢐 Thing (Ben Grimm) 🢒;🢐 Doctor Doom (Victor von Doom) 🢒 | Doombot | Terrible Trio (First appearance) | Bull Brogin 🢒 (First appearance) | Yogi Dakor 🢒 (First appearance) | Harry Phillips 🢒 (First appearance);Yancy Street Gang
Fantastic Four Vol 1 24;Main Series;The Infant Terrible!;;;1964-03;1963-12-09;Stan Lee;Jack Kirby;Fantastic Four | 🢐 Mister Fantastic (Reed Richards) 🢒 | 🢐 Invisible Girl (Susan Storm) 🢒 | 🢐 Human Torch (Johnny Storm) 🢒 | 🢐 Thing (Ben Grimm) 🢒;Infant Terrible 🢒 (First appearance);🢐 Alicia Masters 🢒
Fantastic Four Vol 1 25;Main Series;The Hulk Vs. the Thing;;;1964-04;1964-01-10;Stan Lee;Jack Kirby;Fantastic Four | 🢐 Mister Fantastic (Reed Richards) 🢒 | 🢐 Invisible Girl (Sue Storm) 🢒 | 🢐 Thing (Ben Grimm) 🢒 | 🢐 Human Torch (Johnny Storm) 🢒;🢐 Hulk (Bruce Banner) 🢒;Avengers | 🢐 Captain America (Steve Rogers) 🢒 | 🢐 Iron Man (Tony Stark) 🢒 | 🢐 Thor 🢒 | 🢐 Giant-Man (Henry Pym) 🢒 | 🢐 Wasp (Janet Van Dyne) 🢒 | 🢐 Rick Jones 🢒 | 🢐 Alicia Masters 🢒 | Yancy Street Gang
Fantastic Four Vol 1 26;Main Series;The Avengers Take Over!;;;1964-05;1964-02-11;Stan Lee;Jack Kirby;Fantastic Four | 🢐 Mister Fantastic (Reed Richards) 🢒 | 🢐 Invisible Girl (Susan Storm) 🢒 | 🢐 Human Torch (Johnny Storm) 🢒 | 🢐 Thing (Ben Grimm) 🢒;🢐 Hulk (Bruce Banner) 🢒;Avengers | 🢐 Captain America (Steve Rogers) 🢒 | 🢐 Thor 🢒 | 🢐 Giant-Man 🢒 | 🢐 Wasp (Janet Van Dyne) 🢒 | 🢐 Iron Man (Tony Stark) 🢒 | 🢐 Rick Jones 🢒
Fantastic Four Vol 1 27;Main Series;The Search for Sub-Mariner!;;;1964-06;1964-03-10;Stan Lee;Jack Kirby;Fantastic Four | 🢐 Mister Fantastic (Reed Richards) 🢒 | 🢐 Invisible Girl (Susan Storm) 🢒 | 🢐 Human Torch (Johnny Storm) 🢒 | 🢐 Thing (Ben Grimm) 🢒;🢐 Namor the Sub-Mariner 🢒 | Atlantean Army;🢐 Doctor Strange (Stephen Strange) 🢒
Fantastic Four Vol 1 28;Main Series;We Have to Fight the X-Men!;;;1964-07;1964-04-09;Stan Lee;Jack Kirby;The Fantastic Four | 🢐 Mister Fantastic (Reed Richards) 🢒 | 🢐 Invisible Girl (Susan Storm) 🢒 | 🢐 Human Torch (Johnny Storm) 🢒 | 🢐 Thing (Ben Grimm) 🢒;🢐 Puppet Master (Phillip Masters) 🢒 | 🢐 Mad Thinker 🢒 | 🢐 Awesome Android 🢒;🢐 Alicia Masters 🢒 | X-Men | 🢐 Professor X (Charles Xavier) 🢒 | 🢐 Cyclops (Scott Summers) 🢒 | 🢐 Marvel Girl (Jean Grey) 🢒 | 🢐 Beast (Henry McCoy) 🢒 | 🢐 Iceman (Robert Drake) 🢒 | 🢐 Angel (Warren Worthington III) 🢒
Fantastic Four Vol 1 29;Main Series;It Started on Yancy Street!;;;1964-08;1964-05-12;Stan Lee;Jack Kirby;The Fantastic Four | 🢐 Mister Fantastic (Reed Richards) 🢒 | 🢐 Invisible Girl (Susan Storm) 🢒 | 🢐 Human Torch (Johnny Storm) 🢒 | 🢐 Thing (Ben Grimm) 🢒;🢐 Red Ghost 🢒 | 🢐 Super-Apes 🢒 | 🢐 Miklho 🢒 | 🢐 Peotor 🢒 | 🢐 Igor 🢒;🢐 Watcher (Uatu) 🢒 | 🢐 Alicia Masters 🢒
Fantastic Four Vol 1 30;Main Series;The Dreaded Diablo!;;;1964-09;1964-06-09;Stan Lee;Jack Kirby;The Fantastic Four | 🢐 Mister Fantastic (Reed Richards) 🢒 | 🢐 Invisible Girl (Susan Storm) 🢒 | 🢐 Human Torch (Johnny Storm) 🢒 | 🢐 Thing (Ben Grimm) 🢒;🢐 Diablo 🢒 (First appearance);Baron Hugo (First and only known appearance)
Fantastic Four Annual Vol 1 2;Special;Origin of Doctor Doom!;;;1964-09;1964-07-02;Stan Lee;Jack Kirby;Doctor Doom (See chronology);🢐 King Vladimir Fortunov 🢒 (First appearance);Boris (See chronology) | Werner von Doom (First appearance) (Only in flashback) (Death) (See chronology)
Fantastic Four Vol 1 31;Main Series;The Mad Menace of the Macabre Mole Man;;;1964-10;1964-07-09;Stan Lee;Jack Kirby;Fantastic Four | 🢐 Mister Fantastic (Reed Richards) 🢒 | Invisible Girl (Susan Storm) (See chronology) | 🢐 Human Torch (Johnny Storm) 🢒 | 🢐 Thing (Ben Grimm) 🢒;Mole Man (See chronology);🢐 Franklin Storm 🢒 (First appearance)
Fantastic Four Vol 1 32;Main Series;Death of a Hero!;;;1964-11;1964-08-11;Stan Lee;Jack Kirby;Fantastic Four | 🢐 Mister Fantastic (Reed Richards) 🢒 | 🢐 Invisible Girl (Susan Storm) 🢒 (Appears in flashback) | 🢐 Human Torch (Johnny Storm) 🢒 (Appears in flashback) | 🢐 Thing (Ben Grimm) 🢒;Skrull Empire | 🢐 Invincible Man (Super-Skrull) 🢒 | Morrat 🢒 (First appearance) | 🢐 Emperor Dorrek 🢒;🢐 Franklin Storm 🢒 (Appears in flashback) (Death) | 🢐 Alicia Masters 🢒
Fantastic Four Vol 1 33;Main Series;Side-By-Side with Sub-Mariner!;;;1964-12;1964-09-08;Stan Lee;Jack Kirby;The Fantastic Four | 🢐 Mister Fantastic (Reed Richards) 🢒 | 🢐 Invisible Girl (Susan Storm) 🢒 | 🢐 Human Torch (Johnny Storm) 🢒 | 🢐 Thing (Ben Grimm) 🢒;🢐 Attuma 🢒 (First appearance);🢐 Sub-Mariner 🢒 | Atlanteans
Fantastic Four Vol 1 34;Main Series;A House Divided!;;;1965-01;1964-10-08;Stan Lee;Jack Kirby;Fantastic Four | 🢐 Mister Fantastic (Reed Richards) 🢒 | 🢐 Invisible Girl (Susan Storm) 🢒 | 🢐 Human Torch (Johnny Storm) 🢒 | 🢐 Thing (Ben Grimm) 🢒;Gregory Gideon 🢒 (First appearance) | Gideon's business rivals: | Commander Vanvroot | Tamiroff | Favorshaw | Smedley, Gideon's assistant | Gideon's agents: | Berney | Agent R;🢐 Alicia Masters 🢒
Fantastic Four Vol 1 35;Main Series;Calamity on the Campus!;;;1965-02;1964-11-08;Stan Lee;Jack Kirby;Fantastic Four | Mister Fantastic (Reed Richards) (See chronology) | 🢐 Invisible Girl (Susan Storm) 🢒 | 🢐 Human Torch (Johnny Storm) 🢒 | 🢐 Thing (Ben Grimm) 🢒;🢐 Diablo 🢒 | Dragon Man (See chronology);🢐 Professor Gilbert 🢒 (First appearance)
Fantastic Four Vol 1 36;Main Series;The Frightful Four!;;;1965-03;1964-12-10;Stan Lee;Jack Kirby;The Fantastic Four | 🢐 Mister Fantastic 🢒 | 🢐 Invisible Girl 🢒 | 🢐 Human Torch 🢒 | 🢐 Thing 🢒;Frightful Four (First appearance) | 🢐 Wizard 🢒 (Joins group) | 🢐 Paste-Pot Pete 🢒 (Joins group) | 🢐 Sandman 🢒 (Joins group) | 🢐 Medusa 🢒 (First appearance) (Joins group);🢐 Alicia Masters 🢒
Fantastic Four Vol 1 37;Main Series;Behold! A Distant Star!;;;1965-04;1965-01-12;Stan Lee;Jack Kirby;The Fantastic Four | Mister Fantastic (Reed Richards) (See chronology) | Invisible Girl (Susan Storm) (See chronology) | 🢐 Human Torch (Johnny Storm) 🢒 | 🢐 The Thing (Ben Grimm) 🢒;Skrull Empire | 🢐 Warlord Morrat (Death) | Princess Anelle 🢒 (First appearance) | Numerous unnamed Skrulls | 🢐 Emperor Dorrek 🢒;🢐 Alicia Masters 🢒
Fantastic Four Vol 1 38;Main Series;Defeated by the Frightful Four!;;;1965-05;1965-02-11;Stan Lee;Jack Kirby;The Fantastic Four | Mister Fantastic (Reed Richards) (See chronology) | Invisible Girl (Susan Storm) (See chronology) | Human Torch (Johnny Storm) (See chronology) | Thing (Ben Grimm) (See chronology);Frightful Four | 🢐 Wizard 🢒 | 🢐 Trapster (Peter Petruski) 🢒 | 🢐 Sandman 🢒 | 🢐 Medusa 🢒;
Fantastic Four Vol 1 39;Main Series;A Blind Man Shall Lead Them!;;;1965-06;1965-03-11;Stan Lee;Jack Kirby;Fantastic Four | 🢐 Mister Fantastic (Reed Richards) 🢒 (Appears in flashback) | 🢐 Invisible Girl (Susan Storm) 🢒 (Appears in flashback) | 🢐 Human Torch (Johnny Storm) 🢒 (Appears in flashback) | 🢐 Thing (Ben Grimm) 🢒 (Appears in flashback);🢐 Doctor Doom (Victor Von Doom) 🢒;🢐 Daredevil (Matt Murdock) 🢒
Fantastic Four Vol 1 40;Main Series;The Battle of the Baxter Building;;;1965-07;1965-04-08;Stan Lee;Jack Kirby;Fantastic Four | 🢐 Mister Fantastic (Reed Richards) 🢒 | 🢐 Invisible Girl (Susan Storm) 🢒 | 🢐 Human Torch (Johnny Storm) 🢒 | 🢐 Thing (Ben Grimm) 🢒;🢐 Doctor Doom (Victor von Doom) 🢒;🢐 Daredevil (Matt Murdock) 🢒
Fantastic Four Vol 1 41;Main Series;The Brutal Betrayal of Ben Grimm!;;;1965-08;1965-05-11;Stan Lee;Jack Kirby;The Fantastic Four | 🢐 Mister Fantastic (Reed Richards) 🢒 | 🢐 Invisible Girl (Susan Storm) 🢒 | 🢐 Human Torch (Johnny Storm) 🢒 | 🢐 Thing (Ben Grimm) 🢒 (Leaves group);Frightful Four | 🢐 Wizard 🢒 | 🢐 Trapster (Peter Petruski) 🢒 | 🢐 Sandman (Flint Marko) 🢒 | 🢐 Medusa 🢒 | 🢐 Thing (Ben Grimm) 🢒 (Joins group);🢐 Alicia Masters 🢒
Fantastic Four Vol 1 42;Main Series;To Save You, Why Must I Kill You?;;;1965-09;1965-06-08;Stan Lee;Jack Kirby;The Fantastic Four | 🢐 Mister Fantastic (Reed Richards) 🢒 | 🢐 Invisible Girl (Susan Storm) 🢒 | 🢐 Human Torch (Johnny Storm) 🢒;;
Fantastic Four Annual Vol 1 3;Special;Bedlam at the Baxter Building!;;;1965-10;1965-07-01;Stan Lee;Jack Kirby;Fantastic Four | Thing (Ben Grimm) (See chronology) | Mister Fantastic (Reed Richards) (See chronology) | Invisible Girl (Susan Storm-Richards) (First appearance as Susan Storm-Richards) (See chronology) | Human Torch (Johnny Storm) (See chronology);🢐 Doctor Doom (Victor von Doom) 🢒 | Puppet Master (Phillip Masters) (See chronology) | 🢐 Red Ghost (Ivan Kragoff) 🢒 | Super-Apes | 🢐 Miklho 🢒 | 🢐 Peotor 🢒 | 🢐 Igor 🢒 | 🢐 Mole Man 🢒 | Moloids | Mandarin (See chronology) | 🢐 Black Knight (Nathan Garrett) 🢒 | 🢐 Hellhorse 🢒 | 🢐 Kang 🢒 | Awesome Android (See chronology) | 🢐 Grey Gargoyle (Paul Duval) 🢒 | 🢐 Super-Skrull (Kl'rt) 🢒 | Hydra Agents | 🢐 Cobra (Klaus Voorhees) 🢒 | 🢐 Executioner 🢒 | 🢐 Enchantress 🢒 | Mister Hyde (Calvin Zabo) (See chronology) | 🢐 Electro (Max Dillon) 🢒 | Unicorn (Milos Masaryk) (See chronology) | Melter (Bruno Horgan) (See chronology) | Beetle (Abner Jenkins) (See chronology) | 🢐 Diablo 🢒 | Eel (Leopold Stryke) (See chronology) | 🢐 Mad Thinker 🢒 | 🢐 Human Top (David Cannon) 🢒 | 🢐 Attuma 🢒 | Attuma's Legion | 🢐 Porcupine (Alex Gentry) 🢒;Alicia Masters (See chronology) | 🢐 Watcher (Uatu) 🢒
Fantastic Four Vol 1 43;Main Series;Lo! There Shall be an Ending!;;;1965-10;1965-07-08;Stan Lee;Jack Kirby;Fantastic Four | 🢐 Mister Fantastic (Reed Richards) 🢒 | 🢐 Invisible Girl (Susan Storm) 🢒 | 🢐 Human Torch (Johnny Storm) 🢒 | 🢐 Thing (Ben Grimm) 🢒 (Re-joins Team);Frightful Four | 🢐 Wizard 🢒 | 🢐 Trapster (Peter Petruski) 🢒 | 🢐 Sandman (Flint Marko) 🢒 | 🢐 Medusa 🢒 | 🢐 Doctor Doom (Victor von Doom) 🢒;
Fantastic Four Vol 1 44;Main Series;The Gentleman's Name is Gorgon!;;;1965-11;1965-08-10;Stan Lee;Jack Kirby;Fantastic Four | 🢐 Mr. Fantastic (Reed Richards) 🢒 | 🢐 Invisible Girl (Sue Richards) 🢒 | 🢐 Thing (Ben Grimm) 🢒 | 🢐 Human Torch (Johnny Storm) 🢒;🢐 Gorgon 🢒 (First appearance) | 🢐 Dragon Man 🢒;🢐 Medusa 🢒
Fantastic Four Vol 1 45;Main Series;Among Us Hide... The Inhumans;;;1965-12;1965-09-09;Stan Lee;Jack Kirby;Fantastic Four | 🢐 Mister Fantastic (Reed Richards) 🢒 | 🢐 Invisible Girl (Susan Richards) 🢒 | 🢐 Human Torch (Johnny Storm) 🢒 | 🢐 Thing (Ben Grimm) 🢒;House of Agon (Inhumans) (First appearance) | 🢐 Black Bolt 🢒 (First appearance) | 🢐 Gorgon 🢒 | 🢐 Karnak 🢒 (First appearance) | 🢐 Lockjaw 🢒 (First appearance) | 🢐 Triton 🢒 (First appearance) | 🢐 Medusa 🢒 | 🢐 Dragon Man 🢒 | 🢐 Sandman (Flint Marko) 🢒 | 🢐 Trapster (Peter Petruski) 🢒 | Races and Species: | Humans | Inhumans (First appearance) | Robots | Inhuman Dogs (First appearance);🢐 Crystal 🢒 (First appearance)
Fantastic Four Vol 1 46;Main Series;Those Who Would Destroy Us;;;1966-01;1965-10-12;Stan Lee;Jack Kirby;Fantastic Four | 🢐 Mister Fantastic (Reed Richards) 🢒 | 🢐 Invisible Girl (Susan Storm) 🢒 | 🢐 Human Torch (Johnny Storm) 🢒 | 🢐 Thing (Ben Grimm) 🢒;;🢐 Dragon Man 🢒
Fantastic Four Vol 1 47;Main Series;Beware the Hidden Land!;;;1966-02;1965-11-11;Stan Lee;Jack Kirby;Fantastic Four | 🢐 Mister Fantastic (Reed Richards) 🢒 | 🢐 Invisible Girl (Susan Richards) 🢒 | Human Torch (Johnny Storm) (See chronology) | Thing (Ben Grimm) (See chronology);Dragon Man (See chronology) | 🢐 Maximus 🢒 (First appearance) | 🢐 Seeker 🢒;House of Agon | 🢐 Black Bolt 🢒 | 🢐 Crystal 🢒 | 🢐 Gorgon 🢒 | 🢐 Karnak 🢒 | 🢐 Lockjaw 🢒 | 🢐 Medusa 🢒 | 🢐 Triton 🢒
Fantastic Four Vol 1 48;Main Series;The Coming of Galactus!;;;1966-03;1965-12-09;Stan Lee;Jack Kirby;Fantastic Four | Mister Fantastic (Reed Richards) (See chronology) | Invisible Girl (Susan Richards) (See chronology) | Human Torch (Johnny Storm) (See chronology) | Thing (Ben Grimm) (See chronology);🢐 Maximus 🢒 | 🢐 Seeker 🢒 | Galactus 🢒 (First appearance) | Heralds of Galactus (First appearance) | Silver Surfer (Norrin Radd) 🢒 (First appearance) (See chronology);The Watcher (See chronology) | 🢐 Alicia Masters 🢒 (Voice)
Fantastic Four Vol 1 49;Main Series;If This Be Doomsday!;;;1966-04;1966-01-11;Stan Lee;Jack Kirby;Fantastic Four | 🢐 Mister Fantastic (Reed Richards) 🢒 | 🢐 Invisible Girl (Susan Storm) 🢒 | 🢐 Human Torch (Johnny Storm) 🢒 | 🢐 Thing (Ben Grimm) 🢒;🢐 Galactus (Galan) 🢒 | Punisher Robot 🢒 (First appearance);🢐 Silver Surfer (Norrin Radd) 🢒 | 🢐 Alicia Masters 🢒 | 🢐 Uatu the Watcher 🢒
Fantastic Four Vol 1 50;Main Series;The Startling Saga of the Silver Surfer!;;;1966-05;1966-02-10;Stan Lee;Jack Kirby;Fantastic Four | 🢐 Invisible Girl (Susan Storm) 🢒 | 🢐 Mister Fantastic (Reed Richards) 🢒 | 🢐 Thing (Ben Grimm) 🢒 | 🢐 Human Torch (Johnny Storm) 🢒;🢐 Galactus 🢒;Heralds of Galactus | 🢐 Silver Surfer (Norrin Radd) 🢒 (Leaves group) | 🢐 Watcher 🢒 | 🢐 Alicia Masters 🢒 | Wyatt Wingfoot 🢒 (First appearance)
